"Index","WFC.Close"
"2010-01-04",27.32
"2010-01-05",28.07
"2010-01-06",28.110001
"2010-01-07",29.129999
"2010-01-08",28.860001
"2010-01-11",28.799999
"2010-01-12",28.08
"2010-01-13",28.58
"2010-01-14",28.99
"2010-01-15",28.08
"2010-01-19",28.280001
"2010-01-20",27.82
"2010-01-21",28
"2010-01-22",27.26
"2010-01-25",27.66
"2010-01-26",26.99
"2010-01-27",28.200001
"2010-01-28",28.450001
"2010-01-29",28.43
"2010-02-01",28.93
"2010-02-02",28.790001
"2010-02-03",28.139999
"2010-02-04",27.059999
"2010-02-05",27.42
"2010-02-08",26.43
"2010-02-09",26.709999
"2010-02-10",27.18
"2010-02-11",27.08
"2010-02-12",26.879999
"2010-02-16",27.389999
"2010-02-17",27.33
"2010-02-18",27.34
"2010-02-19",27.370001
"2010-02-22",28.01
"2010-02-23",27.290001
"2010-02-24",27.66
"2010-02-25",27.440001
"2010-02-26",27.34
"2010-03-01",27.35
"2010-03-02",27.870001
"2010-03-03",28.200001
"2010-03-04",28.43
"2010-03-05",29.15
"2010-03-08",28.889999
"2010-03-09",28.98
"2010-03-10",29.57
"2010-03-11",29.76
"2010-03-12",29.629999
"2010-03-15",29.889999
"2010-03-16",30.280001
"2010-03-17",30.549999
"2010-03-18",30.290001
"2010-03-19",30.379999
"2010-03-22",30.41
"2010-03-23",31.08
"2010-03-24",30.860001
"2010-03-25",31.059999
"2010-03-26",31.219999
"2010-03-29",31.1
"2010-03-30",30.84
"2010-03-31",31.120001
"2010-04-01",31.370001
"2010-04-05",31.51
"2010-04-06",32.279999
"2010-04-07",31.99
"2010-04-08",32.23
"2010-04-09",32.299999
"2010-04-12",32.419998
"2010-04-13",32.150002
"2010-04-14",33.279999
"2010-04-15",33.509998
"2010-04-16",32.560001
"2010-04-19",33.02
"2010-04-20",33.689999
"2010-04-21",33.009998
"2010-04-22",33.580002
"2010-04-23",33.48
"2010-04-26",32.720001
"2010-04-27",31.719999
"2010-04-28",32.450001
"2010-04-29",33.23
"2010-04-30",33.110001
"2010-05-03",33.880001
"2010-05-04",32.939999
"2010-05-05",32.66
"2010-05-06",31.18
"2010-05-07",30.82
"2010-05-10",32.970001
"2010-05-11",32.91
"2010-05-12",33.66
"2010-05-13",33.080002
"2010-05-14",32.040001
"2010-05-17",31.969999
"2010-05-18",30.59
"2010-05-19",30.08
"2010-05-20",28.690001
"2010-05-21",30.110001
"2010-05-24",28.709999
"2010-05-25",28.9
"2010-05-26",28.040001
"2010-05-27",29.41
"2010-05-28",28.690001
"2010-06-01",28.23
"2010-06-02",29.18
"2010-06-03",28.860001
"2010-06-04",27.780001
"2010-06-07",27.290001
"2010-06-08",27.76
"2010-06-09",27.030001
"2010-06-10",28.129999
"2010-06-11",27.84
"2010-06-14",27.4
"2010-06-15",27.91
"2010-06-16",28.120001
"2010-06-17",27.93
"2010-06-18",28.07
"2010-06-21",27.940001
"2010-06-22",27.459999
"2010-06-23",27.32
"2010-06-24",26.860001
"2010-06-25",27.049999
"2010-06-28",27.030001
"2010-06-29",25.93
"2010-06-30",25.6
"2010-07-01",25.18
"2010-07-02",24.879999
"2010-07-06",25.15
"2010-07-07",26.66
"2010-07-08",26.639999
"2010-07-09",27
"2010-07-12",27.059999
"2010-07-13",27.940001
"2010-07-14",27.66
"2010-07-15",27.809999
"2010-07-16",26.24
"2010-07-19",26.02
"2010-07-20",25.91
"2010-07-21",26.059999
"2010-07-22",27.389999
"2010-07-23",27.42
"2010-07-26",27.91
"2010-07-27",28.389999
"2010-07-28",28.07
"2010-07-29",27.690001
"2010-07-30",27.73
"2010-08-02",28.57
"2010-08-03",28.120001
"2010-08-04",27.93
"2010-08-05",27.879999
"2010-08-06",27.75
"2010-08-09",28.23
"2010-08-10",27.77
"2010-08-11",26.299999
"2010-08-12",26
"2010-08-13",25.84
