"Index","DIS.Close"
"2010-01-04",32.07
"2010-01-05",31.99
"2010-01-06",31.82
"2010-01-07",31.83
"2010-01-08",31.879999
"2010-01-11",31.360001
"2010-01-12",30.82
"2010-01-13",31.290001
"2010-01-14",31.02
"2010-01-15",30.6
"2010-01-19",31.01
"2010-01-20",31.190001
"2010-01-21",30.610001
"2010-01-22",29.98
"2010-01-25",29.92
"2010-01-26",29.66
"2010-01-27",29.32
"2010-01-28",29.35
"2010-01-29",29.549999
"2010-02-01",29.52
"2010-02-02",29.98
"2010-02-03",30.75
"2010-02-04",29.67
"2010-02-05",29.540001
"2010-02-08",29.48
"2010-02-09",29.84
"2010-02-10",30.030001
"2010-02-11",30.16
"2010-02-12",30.07
"2010-02-16",30.469999
"2010-02-17",30.860001
"2010-02-18",31.02
"2010-02-19",31.23
"2010-02-22",31.120001
"2010-02-23",30.92
"2010-02-24",31.389999
"2010-02-25",31.360001
"2010-02-26",31.24
"2010-03-01",31.540001
"2010-03-02",31.879999
"2010-03-03",31.639999
"2010-03-04",32.57
"2010-03-05",33.220001
"2010-03-08",33.189999
"2010-03-09",33.310001
"2010-03-10",33.330002
"2010-03-11",33.810001
"2010-03-12",33.689999
"2010-03-15",33.720001
"2010-03-16",33.75
"2010-03-17",33.75
"2010-03-18",33.779999
"2010-03-19",33.639999
"2010-03-22",33.950001
"2010-03-23",34.009998
"2010-03-24",34.389999
"2010-03-25",35.09
"2010-03-26",35.310001
"2010-03-29",35.16
"2010-03-30",35.099998
"2010-03-31",34.91
"2010-04-01",35.549999
"2010-04-05",35.220001
"2010-04-06",35.470001
"2010-04-07",35.32
"2010-04-08",35.669998
"2010-04-09",36.220001
"2010-04-12",35.889999
"2010-04-13",35.84
"2010-04-14",36.200001
"2010-04-15",36.400002
"2010-04-16",35.830002
"2010-04-19",36.169998
"2010-04-20",36.540001
"2010-04-21",36.560001
"2010-04-22",36.779999
"2010-04-23",36.790001
"2010-04-26",37.040001
"2010-04-27",36.32
"2010-04-28",36.290001
"2010-04-29",37.220001
"2010-04-30",36.84
"2010-05-03",37.560001
"2010-05-04",36.59
"2010-05-05",35.34
"2010-05-06",34.009998
"2010-05-07",33.41
"2010-05-10",35.290001
"2010-05-11",35.759998
"2010-05-12",35.130001
"2010-05-13",34.75
"2010-05-14",34.060001
"2010-05-17",34.200001
"2010-05-18",33.73
"2010-05-19",33.389999
"2010-05-20",31.99
"2010-05-21",32.869999
"2010-05-24",32.48
"2010-05-25",32.32
"2010-05-26",33.07
"2010-05-27",34.369999
"2010-05-28",33.419998
"2010-06-01",33.330002
"2010-06-02",34.740002
"2010-06-03",34.709999
"2010-06-04",33.689999
"2010-06-07",33.040001
"2010-06-08",33.150002
"2010-06-09",32.939999
"2010-06-10",34.110001
"2010-06-11",34.240002
"2010-06-14",33.93
"2010-06-15",34.990002
"2010-06-16",34.790001
"2010-06-17",35.07
"2010-06-18",35.150002
"2010-06-21",35.060001
"2010-06-22",34.349998
"2010-06-23",34.34
"2010-06-24",33.599998
"2010-06-25",33.48
"2010-06-28",33.220001
"2010-06-29",32.299999
"2010-06-30",31.5
"2010-07-01",31.49
"2010-07-02",31.379999
"2010-07-06",31.719999
"2010-07-07",33.139999
"2010-07-08",33.34
"2010-07-09",33.75
"2010-07-12",33.77
"2010-07-13",34.450001
"2010-07-14",34.240002
"2010-07-15",34.049999
"2010-07-16",33.029999
"2010-07-19",33.310001
"2010-07-20",33.400002
"2010-07-21",32.810001
"2010-07-22",33.59
"2010-07-23",34.130001
"2010-07-26",34.400002
"2010-07-27",34.279999
"2010-07-28",34.040001
"2010-07-29",33.709999
"2010-07-30",33.689999
"2010-08-02",34.48
"2010-08-03",34.209999
"2010-08-04",34.830002
"2010-08-05",34.98
"2010-08-06",35
"2010-08-09",35.16
"2010-08-10",35.290001
"2010-08-11",34.220001
"2010-08-12",33.990002
"2010-08-13",33.68
"2010-08-16",33.66
"2010-08-17",33.759998
"2010-08-18",33.91
"2010-08-19",33.189999
"2010-08-20",33.049999
"2010-08-23",32.93
"2010-08-24",32.139999
"2010-08-25",32.110001
"2010-08-26",31.940001
"2010-08-27",32.779999
"2010-08-30",32.349998
"2010-08-31",32.540001
"2010-09-01",33.509998
"2010-09-02",33.91
"2010-09-03",34.669998
"2010-09-07",33.84
"2010-09-08",33.84
"2010-09-09",34.080002
"2010-09-10",34.150002
"2010-09-13",34.27
"2010-09-14",34.049999
"2010-09-15",34.209999
"2010-09-16",34.169998
"2010-09-17",34.560001
"2010-09-20",34.900002
"2010-09-21",34.5
"2010-09-22",33.990002
"2010-09-23",33.119999
"2010-09-24",33.580002
"2010-09-27",33.290001
"2010-09-28",33.220001
"2010-09-29",33.009998
"2010-09-30",33.099998
"2010-10-01",33.34
"2010-10-04",33.139999
"2010-10-05",33.830002
"2010-10-06",33.720001
"2010-10-07",33.91
"2010-10-08",34.509998
"2010-10-11",34.57
"2010-10-12",34.48
"2010-10-13",34.91
"2010-10-14",34.849998
"2010-10-15",34.880001
"2010-10-18",34.75
"2010-10-19",34.240002
"2010-10-20",34.619999
"2010-10-21",34.68
"2010-10-22",34.970001
"2010-10-25",35.459999
"2010-10-26",35.959999
"2010-10-27",35.919998
"2010-10-28",36.509998
"2010-10-29",36.130001
"2010-11-01",36.029999
"2010-11-02",36.110001
"2010-11-03",36.290001
"2010-11-04",37.029999
"2010-11-05",37.200001
"2010-11-08",37.060001
"2010-11-09",36.860001
"2010-11-10",36.990002
"2010-11-11",35.93
"2010-11-12",37.75
"2010-11-15",37.25
"2010-11-16",36.919998
"2010-11-17",37.220001
"2010-11-18",37.580002
"2010-11-19",37.009998
"2010-11-22",36.950001
"2010-11-23",36.119999
"2010-11-24",36.869999
"2010-11-26",36.700001
"2010-11-29",36.419998
"2010-11-30",36.509998
"2010-12-01",37.119999
"2010-12-02",37.34
"2010-12-03",37.59
"2010-12-06",37.560001
"2010-12-07",37.330002
"2010-12-08",36.970001
"2010-12-09",36.740002
"2010-12-10",36.66
"2010-12-13",37.130001
"2010-12-14",37.240002
"2010-12-15",36.950001
"2010-12-16",37.009998
"2010-12-17",37.049999
"2010-12-20",37.060001
"2010-12-21",37.330002
"2010-12-22",37.950001
"2010-12-23",37.700001
"2010-12-27",37.48
"2010-12-28",37.360001
"2010-12-29",37.599998
"2010-12-30",37.48
"2010-12-31",37.509998
"2011-01-03",37.82
"2011-01-04",38.990002
"2011-01-05",39.959999
"2011-01-06",39.650002
"2011-01-07",39.450001
"2011-01-10",39.5
"2011-01-11",39.400002
"2011-01-12",39.169998
"2011-01-13",39.259998
"2011-01-14",39.290001
"2011-01-18",39.389999
"2011-01-19",39.09
"2011-01-20",39.169998
"2011-01-21",39.740002
"2011-01-24",39.939999
"2011-01-25",39.860001
"2011-01-26",39.439999
"2011-01-27",39.459999
"2011-01-28",38.849998
"2011-01-31",38.869999
"2011-02-01",39.880001
"2011-02-02",40.490002
"2011-02-03",40.5
"2011-02-04",40.709999
"2011-02-07",40.939999
"2011-02-08",41.18
"2011-02-09",43.360001
"2011-02-10",43.310001
"2011-02-11",43.41
"2011-02-14",43.240002
"2011-02-15",43.09
"2011-02-16",43.700001
"2011-02-17",43.700001
"2011-02-18",43.560001
"2011-02-22",42.650002
"2011-02-23",42.130001
"2011-02-24",42.419998
"2011-02-25",42.950001
"2011-02-28",43.740002
"2011-03-01",42.990002
"2011-03-02",43.290001
"2011-03-03",44.07
