"Index","MRK.Close"
"2010-01-04",37.009998
"2010-01-05",37.16
"2010-01-06",37.66
"2010-01-07",37.720001
"2010-01-08",37.700001
"2010-01-11",37.849998
"2010-01-12",37.549999
"2010-01-13",38.93
"2010-01-14",39.990002
"2010-01-15",39.470001
"2010-01-19",40.619999
"2010-01-20",41.029999
"2010-01-21",40.080002
"2010-01-22",38.869999
"2010-01-25",38.759998
"2010-01-26",38.580002
"2010-01-27",38.639999
"2010-01-28",37.970001
"2010-01-29",38.18
"2010-02-01",38.299999
"2010-02-02",39.540001
"2010-02-03",38.720001
"2010-02-04",37.099998
"2010-02-05",36.73
"2010-02-08",36.59
"2010-02-09",36.470001
"2010-02-10",36.200001
"2010-02-11",36.880001
"2010-02-12",36.919998
"2010-02-16",37.66
"2010-02-17",37.34
"2010-02-18",37.290001
"2010-02-19",37.490002
"2010-02-22",37.119999
"2010-02-23",36.509998
"2010-02-24",36.93
"2010-02-25",36.57
"2010-02-26",36.880001
"2010-03-01",37.27
"2010-03-02",37.389999
"2010-03-03",37.209999
"2010-03-04",37.139999
"2010-03-05",37.490002
"2010-03-08",37.349998
"2010-03-09",37.040001
"2010-03-10",36.669998
"2010-03-11",36.880001
"2010-03-12",37.16
"2010-03-15",37.75
"2010-03-16",37.939999
"2010-03-17",38.080002
"2010-03-18",38.450001
"2010-03-19",38.060001
"2010-03-22",38.299999
"2010-03-23",38.5
"2010-03-24",38.009998
"2010-03-25",37.779999
"2010-03-26",37.43
"2010-03-29",37.889999
"2010-03-30",37.66
"2010-03-31",37.349998
"2010-04-01",37.709999
"2010-04-05",37.389999
"2010-04-06",37.25
"2010-04-07",36.790001
"2010-04-08",36.779999
"2010-04-09",36.970001
"2010-04-12",36.849998
"2010-04-13",36.700001
"2010-04-14",36.209999
"2010-04-15",36.040001
"2010-04-16",35.709999
"2010-04-19",35.900002
"2010-04-20",36.060001
"2010-04-21",34.740002
"2010-04-22",33.77
"2010-04-23",35.459999
"2010-04-26",35
"2010-04-27",34.48
"2010-04-28",34.560001
"2010-04-29",35.25
"2010-04-30",35.040001
"2010-05-03",35.27
"2010-05-04",35.810001
"2010-05-05",35.59
"2010-05-06",34.27
"2010-05-07",33.490002
"2010-05-10",34.25
"2010-05-11",33.509998
"2010-05-12",33.639999
"2010-05-13",33.310001
"2010-05-14",32.880001
"2010-05-17",32.779999
"2010-05-18",32.349998
"2010-05-19",32.619999
"2010-05-20",31.82
"2010-05-21",32.040001
"2010-05-24",31.860001
"2010-05-25",32.060001
"2010-05-26",32.419998
"2010-05-27",33.619999
"2010-05-28",33.689999
"2010-06-01",33.529999
"2010-06-02",34.360001
"2010-06-03",34.290001
"2010-06-04",33.169998
"2010-06-07",33.310001
"2010-06-08",33.810001
"2010-06-09",33.709999
"2010-06-10",34.650002
"2010-06-11",34.860001
"2010-06-14",35.02
"2010-06-15",36.02
"2010-06-16",36.009998
"2010-06-17",35.860001
"2010-06-18",35.669998
"2010-06-21",35.119999
"2010-06-22",35.130001
"2010-06-23",35.419998
"2010-06-24",35.610001
"2010-06-25",35.93
"2010-06-28",35.939999
"2010-06-29",35.43
"2010-06-30",34.970001
"2010-07-01",34.439999
"2010-07-02",34.220001
"2010-07-06",34.650002
"2010-07-07",35.43
"2010-07-08",35.860001
"2010-07-09",36.299999
"2010-07-12",36.09
"2010-07-13",36.450001
"2010-07-14",36.200001
"2010-07-15",36.490002
"2010-07-16",35.91
"2010-07-19",35.799999
"2010-07-20",35.66
"2010-07-21",35.189999
"2010-07-22",35.18
"2010-07-23",34.869999
"2010-07-26",35.27
"2010-07-27",35.18
"2010-07-28",34.740002
"2010-07-29",35.060001
"2010-07-30",34.459999
"2010-08-02",35.07
"2010-08-03",34.82
"2010-08-04",35.189999
"2010-08-05",35.07
"2010-08-06",34.98
"2010-08-09",35.360001
"2010-08-10",35.77
"2010-08-11",34.889999
"2010-08-12",35.040001
"2010-08-13",35
"2010-08-16",34.970001
"2010-08-17",35.540001
"2010-08-18",35.369999
"2010-08-19",34.709999
"2010-08-20",34.439999
"2010-08-23",34.970001
"2010-08-24",34.439999
"2010-08-25",34.540001
"2010-08-26",34.48
"2010-08-27",35
"2010-08-30",34.73
"2010-08-31",35.16
"2010-09-01",35.619999
"2010-09-02",35.349998
"2010-09-03",35.59
"2010-09-07",35.459999
"2010-09-08",35.810001
"2010-09-09",36.080002
"2010-09-10",36.650002
"2010-09-13",36.220001
"2010-09-14",36.52
"2010-09-15",36.509998
"2010-09-16",36.43
"2010-09-17",36.330002
"2010-09-20",36.540001
"2010-09-21",36.720001
"2010-09-22",36.959999
"2010-09-23",36.66
"2010-09-24",37.34
"2010-09-27",37.130001
"2010-09-28",37.25
"2010-09-29",37.119999
"2010-09-30",36.810001
"2010-10-01",36.599998
"2010-10-04",36.52
"2010-10-05",37.02
"2010-10-06",37.009998
"2010-10-07",36.709999
"2010-10-08",36.91
"2010-10-11",36.860001
"2010-10-12",36.639999
"2010-10-13",37.16
"2010-10-14",37.150002
"2010-10-15",36.950001
"2010-10-18",37.23
"2010-10-19",36.52
"2010-10-20",36.990002
"2010-10-21",37.099998
"2010-10-22",37.099998
"2010-10-25",37.419998
"2010-10-26",37.07
"2010-10-27",36.459999
"2010-10-28",36.939999
"2010-10-29",36.310001
"2010-11-01",36.25
"2010-11-02",36.610001
"2010-11-03",36.509998
"2010-11-04",36.650002
"2010-11-05",35.700001
"2010-11-08",35.619999
"2010-11-09",35.049999
