"Index","ORCL.Close"
"2010-01-04",24.85
"2010-01-05",24.82
"2010-01-06",24.459999
"2010-01-07",24.379999
"2010-01-08",24.68
"2010-01-11",24.690001
"2010-01-12",24.559999
"2010-01-13",24.799999
"2010-01-14",25.34
"2010-01-15",25.24
"2010-01-19",25.33
"2010-01-20",25.059999
"2010-01-21",24.83
"2010-01-22",24.15
"2010-01-25",24.030001
"2010-01-26",23.879999
"2010-01-27",23.860001
"2010-01-28",23.469999
"2010-01-29",23.059999
"2010-02-01",23.219999
"2010-02-02",23.76
"2010-02-03",23.75
"2010-02-04",23.110001
"2010-02-05",23.549999
"2010-02-08",23.120001
"2010-02-09",23.51
"2010-02-10",23.110001
"2010-02-11",23.35
"2010-02-12",23.41
"2010-02-16",23.809999
"2010-02-17",24.18
"2010-02-18",24.52
"2010-02-19",24.32
"2010-02-22",24.809999
"2010-02-23",24.48
"2010-02-24",24.77
"2010-02-25",24.870001
"2010-02-26",24.65
"2010-03-01",24.74
"2010-03-02",24.58
"2010-03-03",24.5
"2010-03-04",24.76
"2010-03-05",24.950001
"2010-03-08",24.700001
"2010-03-09",24.879999
"2010-03-10",24.870001
"2010-03-11",25.139999
"2010-03-12",25.049999
"2010-03-15",25.280001
"2010-03-16",25.209999
"2010-03-17",25.469999
"2010-03-18",25.379999
"2010-03-19",25.190001
"2010-03-22",25.559999
"2010-03-23",25.99
"2010-03-24",25.76
"2010-03-25",26.040001
"2010-03-26",25.690001
"2010-03-29",25.57
"2010-03-30",25.540001
"2010-03-31",25.709999
"2010-04-01",25.459999
"2010-04-05",25.58
"2010-04-06",25.83
"2010-04-07",25.91
"2010-04-08",25.83
"2010-04-09",26.129999
"2010-04-12",26.200001
"2010-04-13",26.35
"2010-04-14",26.379999
"2010-04-15",26.200001
"2010-04-16",25.950001
"2010-04-19",26.190001
"2010-04-20",26.15
"2010-04-21",26.290001
"2010-04-22",26.24
"2010-04-23",26.48
"2010-04-26",26.469999
"2010-04-27",25.98
"2010-04-28",25.860001
"2010-04-29",25.969999
"2010-04-30",25.870001
"2010-05-03",26.01
"2010-05-04",24.969999
"2010-05-05",24.940001
"2010-05-06",23.91
"2010-05-07",23.41
"2010-05-10",24.389999
"2010-05-11",24.190001
"2010-05-12",24.6
"2010-05-13",24.24
"2010-05-14",23.780001
"2010-05-17",23.74
"2010-05-18",23.43
"2010-05-19",23.190001
"2010-05-20",22.35
"2010-05-21",22.16
"2010-05-24",22.280001
"2010-05-25",22.200001
"2010-05-26",21.91
"2010-05-27",22.58
"2010-05-28",22.57
"2010-06-01",22.200001
"2010-06-02",22.639999
"2010-06-03",22.84
"2010-06-04",22.129999
"2010-06-07",21.700001
"2010-06-08",21.76
"2010-06-09",21.540001
"2010-06-10",22.200001
"2010-06-11",22.690001
"2010-06-14",22.690001
"2010-06-15",23.200001
"2010-06-16",23.18
"2010-06-17",23.07
"2010-06-18",23.200001
"2010-06-21",23.09
"2010-06-22",22.889999
"2010-06-23",22.68
"2010-06-24",22.219999
"2010-06-25",22.66
"2010-06-28",22.450001
"2010-06-29",21.75
"2010-06-30",21.459999
"2010-07-01",21.549999
"2010-07-02",21.83
"2010-07-06",22.32
"2010-07-07",23.09
"2010-07-08",23.219999
"2010-07-09",23.370001
"2010-07-12",23.379999
"2010-07-13",23.709999
"2010-07-14",23.940001
"2010-07-15",23.83
"2010-07-16",23.27
"2010-07-19",23.59
"2010-07-20",23.92
"2010-07-21",23.559999
"2010-07-22",24.309999
"2010-07-23",24.5
"2010-07-26",24.639999
"2010-07-27",24.57
"2010-07-28",24.280001
"2010-07-29",23.700001
"2010-07-30",23.639999
"2010-08-02",24.290001
"2010-08-03",24.209999
"2010-08-04",24.49
"2010-08-05",24.290001
"2010-08-06",24.379999
"2010-08-09",24.26
"2010-08-10",24.290001
"2010-08-11",23.66
"2010-08-12",22.940001
"2010-08-13",22.66
"2010-08-16",22.719999
"2010-08-17",23.049999
