"Index","XOM.Close"
"2010-01-04",69.150002
"2010-01-05",69.419998
"2010-01-06",70.019997
"2010-01-07",69.800003
"2010-01-08",69.519997
"2010-01-11",70.300003
"2010-01-12",69.949997
"2010-01-13",69.669998
"2010-01-14",69.68
"2010-01-15",69.110001
"2010-01-19",69.269997
"2010-01-20",68.029999
"2010-01-21",66.699997
"2010-01-22",66.099998
"2010-01-25",65.849998
"2010-01-26",65.919998
"2010-01-27",65.540001
"2010-01-28",64.959999
"2010-01-29",64.43
"2010-02-01",66.18
"2010-02-02",66.959999
"2010-02-03",66.599998
"2010-02-04",64.720001
"2010-02-05",64.800003
"2010-02-08",64.349998
"2010-02-09",65.199997
"2010-02-10",64.849998
"2010-02-11",65.239998
"2010-02-12",64.800003
"2010-02-16",66.279999
"2010-02-17",65.760002
"2010-02-18",65.959999
"2010-02-19",65.870003
"2010-02-22",65.400002
"2010-02-23",64.940002
"2010-02-24",65.550003
"2010-02-25",65.139999
"2010-02-26",65
"2010-03-01",65.400002
"2010-03-02",65.489998
"2010-03-03",65.43
"2010-03-04",65.400002
"2010-03-05",66.470001
"2010-03-08",66.480003
"2010-03-09",66.779999
"2010-03-10",67.220001
"2010-03-11",67.220001
"2010-03-12",66.800003
"2010-03-15",66.300003
"2010-03-16",66.57
"2010-03-17",67.360001
"2010-03-18",67.389999
"2010-03-19",67.040001
"2010-03-22",66.970001
"2010-03-23",66.949997
"2010-03-24",66.5
"2010-03-25",66.300003
"2010-03-26",66.540001
"2010-03-29",67.300003
"2010-03-30",67.050003
"2010-03-31",66.980003
"2010-04-01",67.610001
"2010-04-05",68.190002
"2010-04-06",67.900002
"2010-04-07",67.339996
"2010-04-08",67.860001
"2010-04-09",68.760002
"2010-04-12",68.709999
"2010-04-13",68.660004
"2010-04-14",68.610001
"2010-04-15",68.260002
"2010-04-16",67.93
"2010-04-19",68.230003
"2010-04-20",68.970001
"2010-04-21",68.919998
"2010-04-22",68.559998
"2010-04-23",69.239998
"2010-04-26",69.290001
"2010-04-27",68.269997
"2010-04-28",69.190002
"2010-04-29",68.660004
"2010-04-30",67.769997
"2010-05-03",67.839996
"2010-05-04",66.470001
"2010-05-05",66.169998
"2010-05-06",63.889999
"2010-05-07",63.700001
"2010-05-10",65.230003
"2010-05-11",64.459999
"2010-05-12",64.910004
"2010-05-13",64.739998
"2010-05-14",63.599998
"2010-05-17",63.27
"2010-05-18",62.790001
"2010-05-19",62.450001
"2010-05-20",60.330002
"2010-05-21",60.880001
"2010-05-24",60.189999
"2010-05-25",59.709999
"2010-05-26",59.310001
"2010-05-27",61.459999
"2010-05-28",60.459999
"2010-06-01",59.25
"2010-06-02",60.77
"2010-06-03",61.560001
"2010-06-04",59.529999
"2010-06-07",59.299999
"2010-06-08",61.240002
"2010-06-09",60.029999
"2010-06-10",61.889999
"2010-06-11",61.860001
"2010-06-14",61.369999
"2010-06-15",62.509998
"2010-06-16",62.509998
"2010-06-17",62.599998
"2010-06-18",63.099998
"2010-06-21",63.130001
"2010-06-22",61.939999
"2010-06-23",61.099998
"2010-06-24",60.07
"2010-06-25",59.099998
"2010-06-28",58.470001
"2010-06-29",57.290001
"2010-06-30",57.07
"2010-07-01",56.610001
"2010-07-02",56.57
"2010-07-06",57.459999
"2010-07-07",58.43
"2010-07-08",58.810001
"2010-07-09",58.779999
"2010-07-12",58.939999
"2010-07-13",59.419998
"2010-07-14",59.259998
"2010-07-15",59.27
"2010-07-16",57.959999
"2010-07-19",58.43
"2010-07-20",58.950001
"2010-07-21",58.169998
"2010-07-22",59.380001
"2010-07-23",59.720001
"2010-07-26",60.389999
"2010-07-27",60.810001
"2010-07-28",60.91
"2010-07-29",60.34
"2010-07-30",59.68
"2010-08-02",61.939999
"2010-08-03",62.720001
"2010-08-04",62.720001
"2010-08-05",62.709999
"2010-08-06",61.970001
"2010-08-09",62.450001
"2010-08-10",61.93
"2010-08-11",60.389999
"2010-08-12",60.23
"2010-08-13",59.91
"2010-08-16",59.880001
"2010-08-17",60.82
"2010-08-18",60.150002
"2010-08-19",59.290001
"2010-08-20",58.889999
"2010-08-23",59.5
"2010-08-24",58.939999
"2010-08-25",58.91
"2010-08-26",58.48
"2010-08-27",59.799999
"2010-08-30",59
"2010-08-31",59.110001
"2010-09-01",60.91
"2010-09-02",61.060001
"2010-09-03",61.32
"2010-09-07",60.549999
"2010-09-08",60.75
"2010-09-09",61.049999
"2010-09-10",61.200001
"2010-09-13",61
"2010-09-14",61.009998
"2010-09-15",61
"2010-09-16",60.970001
"2010-09-17",60.779999
"2010-09-20",61.549999
"2010-09-21",61.540001
"2010-09-22",61.450001
"2010-09-23",61.150002
"2010-09-24",61.75
"2010-09-27",61.709999
"2010-09-28",62.060001
"2010-09-29",61.59
"2010-09-30",61.790001
"2010-10-01",62.540001
"2010-10-04",62.189999
"2010-10-05",63.259998
"2010-10-06",63.939999
"2010-10-07",63.849998
"2010-10-08",64.379997
"2010-10-11",64.550003
"2010-10-12",64.699997
"2010-10-13",65.040001
"2010-10-14",65.300003
"2010-10-15",65.190002
"2010-10-18",66.279999
"2010-10-19",65.120003
"2010-10-20",66.010002
"2010-10-21",66.32
"2010-10-22",66.339996
"2010-10-25",66.199997
"2010-10-26",66.529999
"2010-10-27",65.669998
"2010-10-28",66.220001
"2010-10-29",66.489998
"2010-11-01",66.949997
"2010-11-02",67.839996
"2010-11-03",67.970001
"2010-11-04",69.379997
"2010-11-05",70
"2010-11-08",70.32
"2010-11-09",70.629997
"2010-11-10",71.129997
"2010-11-11",71.830002
"2010-11-12",70.989998
"2010-11-15",70.480003
"2010-11-16",68.940002
"2010-11-17",69.010002
"2010-11-18",70.309998
"2010-11-19",70.540001
"2010-11-22",70.190002
"2010-11-23",68.980003
"2010-11-24",69.879997
"2010-11-26",69.230003
"2010-11-29",69.449997
"2010-11-30",69.559998
"2010-12-01",71.330002
"2010-12-02",71.480003
"2010-12-03",71.190002
"2010-12-06",71.309998
"2010-12-07",71.459999
"2010-12-08",71.849998
"2010-12-09",72
"2010-12-10",72.18
"2010-12-13",72.360001
"2010-12-14",72.18
"2010-12-15",71.849998
"2010-12-16",72.220001
"2010-12-17",72.169998
"2010-12-20",72.220001
"2010-12-21",72.720001
"2010-12-22",72.800003
"2010-12-23",73.199997
"2010-12-27",73.010002
"2010-12-28",73.419998
"2010-12-29",73.370003
"2010-12-30",73.360001
"2010-12-31",73.120003
"2011-01-03",74.550003
"2011-01-04",74.900002
"2011-01-05",74.699997
"2011-01-06",75.18
"2011-01-07",75.589996
"2011-01-10",75.129997
"2011-01-11",75.690002
"2011-01-12",76.580002
"2011-01-13",76.709999
"2011-01-14",77.839996
"2011-01-18",78.709999
"2011-01-19",78.239998
"2011-01-20",77.75
"2011-01-21",78.980003
"2011-01-24",78.589996
"2011-01-25",78.68
"2011-01-26",79.660004
"2011-01-27",79.879997
"2011-01-28",78.989998
"2011-01-31",80.68
"2011-02-01",83.910004
"2011-02-02",83.410004
"2011-02-03",83.440002
"2011-02-04",83.279999
"2011-02-07",83.93
"2011-02-08",82.980003
"2011-02-09",82.550003
"2011-02-10",83.199997
"2011-02-11",82.82
"2011-02-14",84.910004
"2011-02-15",82.970001
"2011-02-16",83.690002
"2011-02-17",83.879997
"2011-02-18",84.5
"2011-02-22",85.440002
"2011-02-23",87.07
"2011-02-24",85.970001
"2011-02-25",85.339996
"2011-02-28",85.529999
"2011-03-01",84.800003
"2011-03-02",85.080002
"2011-03-03",85.82
"2011-03-04",85.080002
"2011-03-07",84.720001
"2011-03-08",84.599998
"2011-03-09",84.379997
"2011-03-10",81.379997
"2011-03-11",82.120003
"2011-03-14",82.379997
"2011-03-15",81.389999
"2011-03-16",79.309998
"2011-03-17",81.160004
"2011-03-18",80.849998
"2011-03-21",82.839996
"2011-03-22",82.559998
"2011-03-23",82.599998
"2011-03-24",82.730003
"2011-03-25",83.620003
"2011-03-28",83.470001
"2011-03-29",83.25
"2011-03-30",84.489998
"2011-03-31",84.129997
"2011-04-01",84.68
"2011-04-04",84.870003
"2011-04-05",85.419998
"2011-04-06",85.18
"2011-04-07",85.760002
"2011-04-08",85.949997
"2011-04-11",85.160004
"2011-04-12",83.18
"2011-04-13",83.160004
"2011-04-14",83.440002
"2011-04-15",84.290001
"2011-04-18",83.099998
"2011-04-19",83.800003
"2011-04-20",85.650002
"2011-04-21",86.360001
"2011-04-25",86.220001
"2011-04-26",87.419998
"2011-04-27",87.779999
"2011-04-28",87.339996
"2011-04-29",87.980003
"2011-05-02",86.970001
"2011-05-03",85.620003
"2011-05-04",84.809998
"2011-05-05",82.620003
