"Index","PEP.Close"
"2010-01-04",61.240002
"2010-01-05",61.98
"2010-01-06",61.360001
"2010-01-07",60.970001
"2010-01-08",60.77
"2010-01-11",60.700001
"2010-01-12",61.549999
"2010-01-13",62.049999
"2010-01-14",62.799999
"2010-01-15",62.290001
"2010-01-19",62.330002
"2010-01-20",61.950001
"2010-01-21",60.939999
"2010-01-22",60.389999
"2010-01-25",60.23
"2010-01-26",60.25
"2010-01-27",60.290001
"2010-01-28",59.740002
"2010-01-29",59.619999
"2010-02-01",60.700001
"2010-02-02",61.150002
"2010-02-03",61.290001
"2010-02-04",59.639999
"2010-02-05",59.509998
"2010-02-08",58.959999
"2010-02-09",60.049999
"2010-02-10",60.380001
"2010-02-11",61.189999
"2010-02-12",60.919998
"2010-02-16",61.310001
"2010-02-17",62.110001
"2010-02-18",62.529999
"2010-02-19",62.66
"2010-02-22",62.41
"2010-02-23",61.779999
"2010-02-24",62.080002
"2010-02-25",62.299999
"2010-02-26",62.470001
"2010-03-01",63.43
"2010-03-02",63.799999
"2010-03-03",63.98
"2010-03-04",64.110001
"2010-03-05",64.370003
"2010-03-08",64.150002
"2010-03-09",64.360001
"2010-03-10",64.43
"2010-03-11",64.970001
"2010-03-12",65.099998
"2010-03-15",66.150002
"2010-03-16",66.07
"2010-03-17",66.57
"2010-03-18",66.519997
"2010-03-19",66.559998
"2010-03-22",66.309998
"2010-03-23",66.860001
"2010-03-24",66.260002
"2010-03-25",66.550003
"2010-03-26",66.589996
"2010-03-29",66.550003
"2010-03-30",66.769997
"2010-03-31",66.160004
"2010-04-01",66.68
"2010-04-05",65.980003
"2010-04-06",66.389999
"2010-04-07",65.989998
"2010-04-08",65.970001
"2010-04-09",66.360001
"2010-04-12",66.32
"2010-04-13",66.389999
"2010-04-14",66.290001
"2010-04-15",66.269997
"2010-04-16",66.139999
"2010-04-19",66.120003
"2010-04-20",65.900002
"2010-04-21",65.980003
"2010-04-22",64.760002
"2010-04-23",64.709999
"2010-04-26",65.019997
"2010-04-27",64.230003
"2010-04-28",64.75
"2010-04-29",65.199997
"2010-04-30",65.220001
"2010-05-03",65.690002
"2010-05-04",65.43
"2010-05-05",65.199997
"2010-05-06",64.699997
"2010-05-07",64.57
"2010-05-10",66.410004
"2010-05-11",66.550003
"2010-05-12",66.940002
"2010-05-13",66.480003
"2010-05-14",66.07
"2010-05-17",66.75
"2010-05-18",66.529999
"2010-05-19",66.040001
"2010-05-20",63.860001
"2010-05-21",63.580002
"2010-05-24",63.32
"2010-05-25",62.889999
"2010-05-26",61.23
"2010-05-27",62.900002
"2010-05-28",62.889999
"2010-06-01",62.759998
"2010-06-02",63.459999
"2010-06-03",63.369999
"2010-06-04",61.439999
"2010-06-07",61.73
"2010-06-08",62.650002
"2010-06-09",62.490002
"2010-06-10",63.84
"2010-06-11",63.560001
"2010-06-14",63.849998
"2010-06-15",64.239998
"2010-06-16",63.91
"2010-06-17",64.489998
"2010-06-18",64.080002
"2010-06-21",64.019997
"2010-06-22",63.299999
"2010-06-23",62.73
"2010-06-24",62.400002
"2010-06-25",60.77
"2010-06-28",61.959999
"2010-06-29",61.23
"2010-06-30",60.950001
"2010-07-01",61.52
"2010-07-02",61.529999
"2010-07-06",61.639999
"2010-07-07",62.93
"2010-07-08",64
"2010-07-09",63.5
"2010-07-12",63.740002
"2010-07-13",63.43
"2010-07-14",63.560001
"2010-07-15",63.16
"2010-07-16",62.450001
"2010-07-19",62.049999
"2010-07-20",64.730003
"2010-07-21",63.950001
"2010-07-22",64.209999
"2010-07-23",64.449997
"2010-07-26",64.980003
"2010-07-27",65.690002
"2010-07-28",65.199997
"2010-07-29",64.889999
"2010-07-30",64.910004
"2010-08-02",65.269997
"2010-08-03",65.769997
"2010-08-04",66.169998
"2010-08-05",65.580002
"2010-08-06",65.900002
"2010-08-09",66.419998
"2010-08-10",66.529999
"2010-08-11",65.449997
"2010-08-12",65.18
"2010-08-13",65.559998
"2010-08-16",65.43
"2010-08-17",65.550003
"2010-08-18",65.519997
"2010-08-19",64.660004
