"Index","HD.Close"
"2010-01-04",28.67
"2010-01-05",28.879999
"2010-01-06",28.780001
"2010-01-07",29.120001
"2010-01-08",28.98
"2010-01-11",28.16
"2010-01-12",27.98
"2010-01-13",28.129999
"2010-01-14",28.299999
"2010-01-15",28.57
"2010-01-19",28.879999
"2010-01-20",28.66
"2010-01-21",28.48
"2010-01-22",27.719999
"2010-01-25",27.620001
"2010-01-26",27.73
"2010-01-27",27.84
"2010-01-28",27.34
"2010-01-29",28.01
"2010-02-01",28.389999
"2010-02-02",29.030001
"2010-02-03",28.469999
"2010-02-04",27.93
"2010-02-05",27.98
"2010-02-08",28.59
"2010-02-09",28.870001
"2010-02-10",28.65
"2010-02-11",28.99
"2010-02-12",29
"2010-02-16",29.440001
"2010-02-17",30.02
"2010-02-18",30.299999
"2010-02-19",30.15
"2010-02-22",30.32
"2010-02-23",30.75
"2010-02-24",31.360001
"2010-02-25",31.360001
"2010-02-26",31.200001
"2010-03-01",31.43
"2010-03-02",31.360001
"2010-03-03",31.469999
"2010-03-04",31.440001
"2010-03-05",31.799999
"2010-03-08",31.959999
"2010-03-09",31.68
"2010-03-10",31.709999
"2010-03-11",32.130001
"2010-03-12",32.450001
"2010-03-15",32.689999
"2010-03-16",32.549999
"2010-03-17",32.52
"2010-03-18",32.400002
"2010-03-19",32.360001
"2010-03-22",32.669998
"2010-03-23",32.59
"2010-03-24",32.32
"2010-03-25",32.619999
"2010-03-26",32.75
"2010-03-29",32.599998
"2010-03-30",32.689999
"2010-03-31",32.349998
"2010-04-01",32.380001
"2010-04-05",32.66
"2010-04-06",32.549999
"2010-04-07",32.610001
"2010-04-08",32.970001
"2010-04-09",33.25
"2010-04-12",33.48
"2010-04-13",34.34
"2010-04-14",34.98
"2010-04-15",35.139999
"2010-04-16",35.009998
"2010-04-19",35.169998
"2010-04-20",35.18
"2010-04-21",35.27
"2010-04-22",35.720001
"2010-04-23",36.389999
"2010-04-26",36.490002
"2010-04-27",35.290001
"2010-04-28",35.189999
"2010-04-29",35.560001
"2010-04-30",35.23
"2010-05-03",35.869999
"2010-05-04",35.419998
"2010-05-05",35.240002
"2010-05-06",33.959999
"2010-05-07",33.43
"2010-05-10",35.290001
"2010-05-11",35.630001
"2010-05-12",35.889999
"2010-05-13",35.27
"2010-05-14",35.200001
"2010-05-17",35.59
"2010-05-18",34.73
"2010-05-19",34.380001
"2010-05-20",32.889999
"2010-05-21",33.02
"2010-05-24",33.220001
"2010-05-25",33.98
"2010-05-26",34.040001
"2010-05-27",34.549999
"2010-05-28",33.860001
"2010-06-01",33.540001
"2010-06-02",33.869999
"2010-06-03",33.43
"2010-06-04",32.150002
"2010-06-07",31.549999
"2010-06-08",31.809999
"2010-06-09",31.76
"2010-06-10",32.720001
"2010-06-11",32.220001
"2010-06-14",32.060001
"2010-06-15",32.259998
"2010-06-16",32.139999
"2010-06-17",31.91
"2010-06-18",31.940001
"2010-06-21",31.43
"2010-06-22",30.610001
"2010-06-23",30.5
"2010-06-24",29.67
"2010-06-25",30.200001
"2010-06-28",29.59
"2010-06-29",28.629999
