"Index","SMSI.Close"
"2010-01-04",1262.359985
"2010-01-05",1270.380005
"2010-01-06",1272.660034
"2010-01-07",1266.790039
"2010-01-08",1267.170044
"2010-01-11",1257.849976
"2010-01-12",1247.109985
"2010-01-13",1245.640015
"2010-01-14",1249.48999
"2010-01-15",1233.890015
"2010-01-19",1252.339966
"2010-01-20",1219.969971
"2010-01-21",1192.349976
"2010-01-22",1185.300049
"2010-01-25",1172.719971
"2010-01-26",1183.189941
"2010-01-27",1149.77002
"2010-01-28",1127.819946
"2010-01-29",1140.569946
"2010-02-01",1144.939941
"2010-02-02",1159.890015
"2010-02-03",1132.939941
"2010-02-04",1064.089966
"2010-02-05",1049.380005
"2010-02-08",1060.089966
"2010-02-09",1067.410034
"2010-02-10",1089.540039
"2010-02-11",1070.910034
"2010-02-12",1064.609985
"2010-02-16",1081.410034
"2010-02-17",1093.150024
"2010-02-18",1100.76001
"2010-02-19",1110.650024
"2010-02-22",1099.280029
"2010-02-23",1071.660034
"2010-02-24",1065.119995
"2010-02-25",1052.349976
"2010-02-26",1074.180054
"2010-03-01",1084.359985
"2010-03-02",1092.660034
"2010-03-03",1107.560059
"2010-03-04",1115.98999
"2010-03-05",1143.829956
"2010-03-08",1149.380005
"2010-03-09",1141
"2010-03-10",1153.430054
"2010-03-11",1145.22998
"2010-03-12",1148.02002
"2010-03-15",1136.079956
"2010-03-16",1145.780029
"2010-03-17",1155.869995
"2010-03-18",1145.5
"2010-03-19",1136.73999
"2010-03-22",1123.140015
"2010-03-23",1137.160034
"2010-03-24",1123.089966
"2010-03-25",1145.900024
"2010-03-26",1144.030029
"2010-03-29",1145.660034
"2010-03-30",1134.369995
"2010-03-31",1123.079956
"2010-04-01",1142.410034
"2010-04-05",NA
"2010-04-06",1151.099976
"2010-04-07",1155.420044
"2010-04-08",1144.310059
"2010-04-09",1177.219971
"2010-04-12",1184.97998
"2010-04-13",1185.310059
"2010-04-14",1189.77002
"2010-04-15",1192.199951
"2010-04-16",1165.910034
"2010-04-19",1159.959961
"2010-04-20",1170.459961
"2010-04-21",1146.030029
"2010-04-22",1120.589966
"2010-04-23",1130.439941
"2010-04-26",1132.119995
"2010-04-27",1084.599976
"2010-04-28",1051.180054
"2010-04-29",1079.98999
"2010-04-30",1086.680054
"2010-05-03",1078.390015
"2010-05-04",1019.340027
"2010-05-05",995.73999
"2010-05-06",965.570007
"2010-05-07",934.030029
"2010-05-10",1071.569946
"2010-05-11",1034.910034
"2010-05-12",1043.75
"2010-05-13",1031.76001
"2010-05-14",963.450012
"2010-05-17",959.809998
"2010-05-18",996.119995
