"Index","JNJ.Close"
"2010-01-04",64.68
"2010-01-05",63.93
"2010-01-06",64.449997
"2010-01-07",63.990002
"2010-01-08",64.209999
"2010-01-11",64.220001
"2010-01-12",64.559998
"2010-01-13",64.970001
"2010-01-14",65.099998
"2010-01-15",64.559998
"2010-01-19",65.349998
"2010-01-20",65.150002
"2010-01-21",63.970001
"2010-01-22",63.200001
"2010-01-25",63.220001
"2010-01-26",62.790001
"2010-01-27",63.439999
"2010-01-28",63.799999
"2010-01-29",62.860001
"2010-02-01",63.09
"2010-02-02",63.990002
"2010-02-03",63.630001
"2010-02-04",62.639999
"2010-02-05",62.639999
"2010-02-08",62.369999
"2010-02-09",62.759998
"2010-02-10",62.73
"2010-02-11",62.91
"2010-02-12",62.720001
"2010-02-16",63.610001
"2010-02-17",63.98
"2010-02-18",64.529999
"2010-02-19",63.810001
"2010-02-22",63.490002
"2010-02-23",63.310001
"2010-02-24",63.450001
"2010-02-25",63.279999
"2010-02-26",63
"2010-03-01",63.389999
"2010-03-02",63.439999
"2010-03-03",63.400002
"2010-03-04",63.57
"2010-03-05",64.040001
"2010-03-08",64.199997
"2010-03-09",64.269997
"2010-03-10",64.290001
"2010-03-11",64.220001
"2010-03-12",64.18
"2010-03-15",64.57
"2010-03-16",64.529999
"2010-03-17",64.650002
"2010-03-18",65.059998
"2010-03-19",65.110001
"2010-03-22",65.099998
"2010-03-23",65.360001
"2010-03-24",64.75
"2010-03-25",64.57
"2010-03-26",64.379997
"2010-03-29",64.82
"2010-03-30",64.900002
"2010-03-31",65.199997
"2010-04-01",65.769997
"2010-04-05",65.400002
"2010-04-06",65.309998
"2010-04-07",65.220001
"2010-04-08",64.93
"2010-04-09",65.139999
"2010-04-12",65.110001
"2010-04-13",65.68
"2010-04-14",65.489998
"2010-04-15",65.510002
"2010-04-16",65.019997
"2010-04-19",66.029999
"2010-04-20",65.989998
"2010-04-21",65.389999
"2010-04-22",64.779999
"2010-04-23",65.040001
"2010-04-26",64.760002
"2010-04-27",64.279999
"2010-04-28",64.620003
"2010-04-29",65.010002
"2010-04-30",64.300003
"2010-05-03",65.330002
"2010-05-04",64.699997
"2010-05-05",65.139999
"2010-05-06",63.400002
"2010-05-07",63.310001
"2010-05-10",64.75
"2010-05-11",64.669998
"2010-05-12",64.900002
"2010-05-13",64.669998
"2010-05-14",63.970001
"2010-05-17",63.880001
"2010-05-18",62.970001
"2010-05-19",62.220001
"2010-05-20",60.549999
"2010-05-21",60.880001
"2010-05-24",60.57
"2010-05-25",60.349998
"2010-05-26",59.66
"2010-05-27",59.029999
"2010-05-28",58.299999
"2010-06-01",58.759998
"2010-06-02",59.73
"2010-06-03",59.77
"2010-06-04",58.009998
"2010-06-07",58
"2010-06-08",58.639999
"2010-06-09",58.169998
"2010-06-10",58.5
"2010-06-11",58.459999
"2010-06-14",58.419998
"2010-06-15",59.139999
"2010-06-16",59.240002
"2010-06-17",59.18
"2010-06-18",59.18
"2010-06-21",59.130001
"2010-06-22",59.16
"2010-06-23",59.240002
"2010-06-24",59.599998
"2010-06-25",58.700001
"2010-06-28",59.450001
"2010-06-29",59.240002
"2010-06-30",59.060001
"2010-07-01",59.07
"2010-07-02",59.080002
"2010-07-06",59.080002
"2010-07-07",60.610001
"2010-07-08",61.380001
"2010-07-09",60.540001
"2010-07-12",60.209999
"2010-07-13",60.5
"2010-07-14",60.619999
"2010-07-15",60.259998
"2010-07-16",59.439999
"2010-07-19",59.57
"2010-07-20",58.580002
"2010-07-21",57.119999
"2010-07-22",57.02
"2010-07-23",57.630001
"2010-07-26",57.740002
"2010-07-27",58.099998
"2010-07-28",57.830002
"2010-07-29",57.830002
"2010-07-30",58.09
"2010-08-02",58.720001
"2010-08-03",59.349998
"2010-08-04",59.740002
"2010-08-05",59.759998
"2010-08-06",59.959999
"2010-08-09",60.049999
"2010-08-10",59.43
"2010-08-11",58.5
"2010-08-12",58.52
"2010-08-13",58.150002
"2010-08-16",58.009998
"2010-08-17",59.220001
"2010-08-18",59.349998
"2010-08-19",58.720001
"2010-08-20",58.740002
"2010-08-23",58.869999
"2010-08-24",58.009998
"2010-08-25",57.98
"2010-08-26",57.799999
"2010-08-27",57.599998
"2010-08-30",57.299999
"2010-08-31",57.02
"2010-09-01",58.290001
"2010-09-02",58.610001
"2010-09-03",58.93
"2010-09-07",58.700001
"2010-09-08",58.849998
"2010-09-09",59.82
"2010-09-10",59.98
"2010-09-13",60.32
"2010-09-14",60.580002
"2010-09-15",61.049999
"2010-09-16",61.290001
"2010-09-17",61.57
"2010-09-20",62.09
"2010-09-21",61.939999
"2010-09-22",61.970001
"2010-09-23",61.810001
"2010-09-24",62.139999
"2010-09-27",62.029999
"2010-09-28",62.43
"2010-09-29",62.310001
"2010-09-30",61.959999
"2010-10-01",61.75
"2010-10-04",61.669998
"2010-10-05",62.799999
"2010-10-06",63.209999
"2010-10-07",63.220001
"2010-10-08",63.23
"2010-10-11",63.299999
"2010-10-12",63.290001
"2010-10-13",63.580002
"2010-10-14",63.740002
"2010-10-15",63.57
"2010-10-18",63.860001
"2010-10-19",63.290001
"2010-10-20",63.599998
"2010-10-21",63.990002
"2010-10-22",63.810001
"2010-10-25",63.98
"2010-10-26",63.84
"2010-10-27",63.57
"2010-10-28",63.560001
"2010-10-29",63.740002
"2010-11-01",63.689999
"2010-11-02",63.880001
"2010-11-03",64.190002
"2010-11-04",64.760002
"2010-11-05",64.650002
"2010-11-08",64.330002
"2010-11-09",64.309998
"2010-11-10",63.950001
"2010-11-11",63.919998
"2010-11-12",63.669998
"2010-11-15",64.139999
"2010-11-16",63.139999
"2010-11-17",63.060001
"2010-11-18",63.830002
"2010-11-19",63.830002
"2010-11-22",63.619999
"2010-11-23",62.869999
"2010-11-24",63.290001
"2010-11-26",62.299999
"2010-11-29",61.91
"2010-11-30",61.549999
"2010-12-01",62.419998
"2010-12-02",62.599998
"2010-12-03",62.560001
"2010-12-06",62.200001
"2010-12-07",62.310001
"2010-12-08",62.450001
"2010-12-09",62.060001
"2010-12-10",61.91
"2010-12-13",61.860001
"2010-12-14",62.77
"2010-12-15",62.57
"2010-12-16",62.400002
"2010-12-17",62.540001
"2010-12-20",62.490002
"2010-12-21",62.34
"2010-12-22",62.02
"2010-12-23",62.25
"2010-12-27",61.93
"2010-12-28",62.049999
"2010-12-29",62.130001
"2010-12-30",61.939999
"2010-12-31",61.849998
"2011-01-03",62.82
"2011-01-04",63.349998
"2011-01-05",63.310001
"2011-01-06",63.209999
"2011-01-07",62.599998
"2011-01-10",62.16
"2011-01-11",62.27
"2011-01-12",62.5
"2011-01-13",62.91
"2011-01-14",62.549999
"2011-01-18",62.099998
"2011-01-19",62.560001
"2011-01-20",62.860001
"2011-01-21",62.66
"2011-01-24",62.220001
"2011-01-25",61.080002
"2011-01-26",60.599998
"2011-01-27",60.68
"2011-01-28",60.009998
"2011-01-31",59.77
"2011-02-01",60.630001
"2011-02-02",60.619999
"2011-02-03",60.799999
"2011-02-04",60.84
"2011-02-07",60.869999
"2011-02-08",60.939999
"2011-02-09",60.880001
"2011-02-10",60.93
"2011-02-11",60.700001
"2011-02-14",60.700001
"2011-02-15",60.619999
"2011-02-16",60.52
"2011-02-17",60.790001
"2011-02-18",61.110001
"2011-02-22",60.650002
"2011-02-23",60.389999
"2011-02-24",60.25
"2011-02-25",59.639999
"2011-02-28",61.439999
"2011-03-01",60.700001
"2011-03-02",60.810001
"2011-03-03",61.049999
"2011-03-04",61.060001
