"Index","KO.Close"
"2010-01-04",28.52
"2010-01-05",28.174999
"2010-01-06",28.165001
"2010-01-07",28.094999
"2010-01-08",27.575001
"2010-01-11",28.135
"2010-01-12",28.440001
"2010-01-13",28.514999
"2010-01-14",28.565001
"2010-01-15",28.145
"2010-01-19",28.209999
"2010-01-20",27.75
"2010-01-21",27.184999
"2010-01-22",27.120001
"2010-01-25",27.174999
"2010-01-26",27.07
"2010-01-27",27.254999
"2010-01-28",27.09
"2010-01-29",27.125
"2010-02-01",27.190001
"2010-02-02",27.525
"2010-02-03",27.434999
"2010-02-04",26.715
"2010-02-05",26.545
"2010-02-08",26.325001
"2010-02-09",27.004999
"2010-02-10",26.895
"2010-02-11",27.110001
"2010-02-12",26.99
"2010-02-16",27.41
"2010-02-17",27.665001
"2010-02-18",27.955
"2010-02-19",27.860001
"2010-02-22",27.690001
"2010-02-23",27.415001
"2010-02-24",27.58
"2010-02-25",26.559999
"2010-02-26",26.360001
"2010-03-01",26.635
"2010-03-02",26.65
"2010-03-03",26.965
"2010-03-04",27.235001
"2010-03-05",27.35
"2010-03-08",27.23
"2010-03-09",27.09
"2010-03-10",27.1
"2010-03-11",26.799999
"2010-03-12",26.674999
"2010-03-15",26.825001
"2010-03-16",26.85
"2010-03-17",26.92
"2010-03-18",26.975
"2010-03-19",27.375
"2010-03-22",27.27
"2010-03-23",27.65
"2010-03-24",27.309999
"2010-03-25",27.4
"2010-03-26",27.325001
"2010-03-29",27.385
"2010-03-30",27.434999
"2010-03-31",27.5
"2010-04-01",27.65
"2010-04-05",27.43
"2010-04-06",27.145
"2010-04-07",26.91
"2010-04-08",26.879999
"2010-04-09",27.295
"2010-04-12",27.379999
"2010-04-13",27.51
"2010-04-14",27.475
"2010-04-15",27.129999
"2010-04-16",27.485001
"2010-04-19",27.66
"2010-04-20",27.235001
"2010-04-21",27.094999
"2010-04-22",27.155001
"2010-04-23",26.940001
"2010-04-26",26.865
"2010-04-27",26.434999
"2010-04-28",26.68
"2010-04-29",26.870001
"2010-04-30",26.725
"2010-05-03",26.879999
"2010-05-04",26.59
"2010-05-05",26.83
"2010-05-06",26.15
"2010-05-07",26.334999
"2010-05-10",27.02
"2010-05-11",26.805
"2010-05-12",27.01
"2010-05-13",26.745001
"2010-05-14",26.67
"2010-05-17",26.705
"2010-05-18",26.549999
"2010-05-19",26.559999
"2010-05-20",25.77
"2010-05-21",25.795
"2010-05-24",25.73
"2010-05-25",25.309999
"2010-05-26",25.040001
"2010-05-27",25.615
"2010-05-28",25.700001
"2010-06-01",25.645
"2010-06-02",26.205
"2010-06-03",26.375
"2010-06-04",25.635
"2010-06-07",25.4
"2010-06-08",25.780001
"2010-06-09",25.674999
"2010-06-10",26.225
"2010-06-11",25.825001
"2010-06-14",25.754999
"2010-06-15",26.09
"2010-06-16",26.200001
"2010-06-17",26.18
"2010-06-18",26.155001
"2010-06-21",26.24
"2010-06-22",26.23
"2010-06-23",26.120001
"2010-06-24",25.9
"2010-06-25",25.129999
"2010-06-28",25.540001
"2010-06-29",25.165001
"2010-06-30",25.059999
"2010-07-01",25.014999
"2010-07-02",25.025
"2010-07-06",25.215
"2010-07-07",25.735001
"2010-07-08",26.209999
"2010-07-09",26.200001
"2010-07-12",26.225
"2010-07-13",26.360001
"2010-07-14",26.41
"2010-07-15",26.424999
"2010-07-16",26.184999
"2010-07-19",26.135
"2010-07-20",26.620001
"2010-07-21",27.040001
"2010-07-22",27.129999
"2010-07-23",27.375
"2010-07-26",27.469999
"2010-07-27",27.525
"2010-07-28",27.440001
"2010-07-29",27.495001
"2010-07-30",27.555
"2010-08-02",28.205
"2010-08-03",28.190001
"2010-08-04",28.275
"2010-08-05",28.184999
"2010-08-06",28.375
"2010-08-09",28.555
"2010-08-10",28.49
"2010-08-11",28.02
"2010-08-12",27.844999
"2010-08-13",27.865
"2010-08-16",27.940001
"2010-08-17",28.059999
"2010-08-18",27.92
"2010-08-19",27.639999
"2010-08-20",27.65
"2010-08-23",27.799999
"2010-08-24",27.83
"2010-08-25",27.695
"2010-08-26",27.58
"2010-08-27",28.08
"2010-08-30",27.775
"2010-08-31",27.940001
"2010-09-01",28.655001
"2010-09-02",28.690001
"2010-09-03",28.780001
"2010-09-07",28.815001
"2010-09-08",28.915001
"2010-09-09",29.145
"2010-09-10",29.26
"2010-09-13",29.014999
"2010-09-14",28.795
"2010-09-15",28.709999
"2010-09-16",28.754999
"2010-09-17",28.780001
"2010-09-20",28.985001
"2010-09-21",29.055
"2010-09-22",29.115
"2010-09-23",28.934999
"2010-09-24",29.309999
"2010-09-27",29.299999
"2010-09-28",29.549999
"2010-09-29",29.379999
"2010-09-30",29.26
"2010-10-01",29.559999
"2010-10-04",29.440001
"2010-10-05",29.83
"2010-10-06",29.9
"2010-10-07",29.719999
"2010-10-08",29.705
"2010-10-11",29.780001
"2010-10-12",29.799999
"2010-10-13",29.969999
"2010-10-14",29.955
"2010-10-15",29.969999
"2010-10-18",30
"2010-10-19",30.17
"2010-10-20",30.575001
"2010-10-21",30.735001
"2010-10-22",30.805
"2010-10-25",30.504999
"2010-10-26",30.620001
"2010-10-27",30.594999
"2010-10-28",30.605
"2010-10-29",30.66
"2010-11-01",30.855
"2010-11-02",30.93
"2010-11-03",30.975
"2010-11-04",31.225
"2010-11-05",31.290001
"2010-11-08",31.23
"2010-11-09",31.32
"2010-11-10",31.275
"2010-11-11",31.4
"2010-11-12",31.459999
"2010-11-15",31.48
"2010-11-16",31.040001
"2010-11-17",31.26
"2010-11-18",31.92
"2010-11-19",32.16
"2010-11-22",32.134998
"2010-11-23",31.809999
"2010-11-24",32.305
"2010-11-26",32.055
"2010-11-29",31.695
"2010-11-30",31.584999
"2010-12-01",32.349998
"2010-12-02",32.450001
"2010-12-03",32.25
"2010-12-06",31.995001
"2010-12-07",32.07
"2010-12-08",32.195
"2010-12-09",32.415001
"2010-12-10",32.325001
"2010-12-13",32.424999
"2010-12-14",31.950001
"2010-12-15",32.369999
"2010-12-16",32.669998
"2010-12-17",32.849998
"2010-12-20",32.654999
"2010-12-21",32.744999
"2010-12-22",32.794998
"2010-12-23",32.790001
"2010-12-27",32.535
"2010-12-28",32.68
"2010-12-29",32.724998
"2010-12-30",32.75
"2010-12-31",32.884998
"2011-01-03",32.610001
"2011-01-04",31.934999
"2011-01-05",31.745001
"2011-01-06",31.514999
"2011-01-07",31.459999
"2011-01-10",31.530001
"2011-01-11",31.344999
"2011-01-12",31.52
"2011-01-13",31.700001
"2011-01-14",31.565001
