"Index","RUT.Close"
"2010-01-04",640.099976
"2010-01-05",638.48999
"2010-01-06",637.950012
"2010-01-07",641.969971
"2010-01-08",644.559998
"2010-01-11",643.98999
"2010-01-12",635.5
"2010-01-13",643.559998
"2010-01-14",646.429993
"2010-01-15",637.960022
"2010-01-19",649.150024
"2010-01-20",639.609985
"2010-01-21",628.359985
"2010-01-22",617.119995
"2010-01-25",618.109985
"2010-01-26",612.159973
"2010-01-27",618.380005
"2010-01-28",607.929993
"2010-01-29",602.039978
"2010-02-01",609.25
"2010-02-02",614.049988
"2010-02-03",610.659973
"2010-02-04",589.679993
"2010-02-05",592.97998
"2010-02-08",586.48999
"2010-02-09",595.169983
"2010-02-10",595.820007
"2010-02-11",605.460022
"2010-02-12",610.719971
"2010-02-16",620.840027
"2010-02-17",624.830017
"2010-02-18",629.320007
"2010-02-19",631.619995
"2010-02-22",632.25
"2010-02-23",625.070007
"2010-02-24",630.429993
"2010-02-25",630.460022
"2010-02-26",628.559998
"2010-03-01",642.650024
"2010-03-02",648.309998
"2010-03-03",649.26001
"2010-03-04",652.469971
"2010-03-05",666.02002
"2010-03-08",667.109985
"2010-03-09",669.630005
"2010-03-10",674.929993
"2010-03-11",677.219971
"2010-03-12",676.590027
"2010-03-15",674.409973
"2010-03-16",679.580017
"2010-03-17",683.97998
"2010-03-18",681.609985
"2010-03-19",673.890015
"2010-03-22",682.909973
"2010-03-23",690.299988
"2010-03-24",683.679993
"2010-03-25",679.099976
"2010-03-26",678.969971
"2010-03-29",682.25
"2010-03-30",683.940002
"2010-03-31",678.640015
"2010-04-01",683.97998
"2010-04-05",697.650024
"2010-04-06",701.47998
"2010-04-07",699.460022
"2010-04-08",699.640015
"2010-04-09",702.950012
"2010-04-12",705.059998
"2010-04-13",707.030029
"2010-04-14",722.400024
"2010-04-15",724.210022
"2010-04-16",714.619995
"2010-04-19",711.400024
"2010-04-20",721.549988
"2010-04-21",726.190002
"2010-04-22",734.309998
"2010-04-23",741.919983
"2010-04-26",738.859985
"2010-04-27",721.27002
"2010-04-28",722.390015
"2010-04-29",737.73999
"2010-04-30",716.599976
"2010-05-03",732.820007
"2010-05-04",709.700012
"2010-05-05",698.580017
"2010-05-06",672.22998
"2010-05-07",653
"2010-05-10",689.609985
"2010-05-11",695.47998
"2010-05-12",716.109985
"2010-05-13",709.849976
"2010-05-14",693.97998
"2010-05-17",695.710022
"2010-05-18",682.75
"2010-05-19",674.400024
"2010-05-20",640.039978
"2010-05-21",649.289978
"2010-05-24",641.210022
"2010-05-25",640.02002
"2010-05-26",642.619995
"2010-05-27",670.51001
"2010-05-28",661.609985
"2010-06-01",640.960022
"2010-06-02",660.52002
"2010-06-03",667.369995
"2010-06-04",633.969971
