"Index","GE.Close"
"2010-01-04",14.855769
"2010-01-05",14.932692
"2010-01-06",14.855769
"2010-01-07",15.625
"2010-01-08",15.961538
"2010-01-11",16.115385
"2010-01-12",16.125
"2010-01-13",16.182692
"2010-01-14",16.057692
"2010-01-15",15.807692
"2010-01-19",15.903846
"2010-01-20",15.865385
"2010-01-21",15.403846
"2010-01-22",15.490385
"2010-01-25",15.740385
"2010-01-26",15.721154
"2010-01-27",15.673077
"2010-01-28",15.538462
"2010-01-29",15.461538
"2010-02-01",15.625
"2010-02-02",16.201923
"2010-02-03",16.038462
"2010-02-04",15.423077
"2010-02-05",15.182692
"2010-02-08",15
"2010-02-09",15
"2010-02-10",15.086538
"2010-02-11",15.163462
"2010-02-12",14.951923
"2010-02-16",15.423077
"2010-02-17",15.528846
"2010-02-18",15.615385
"2010-02-19",15.548077
"2010-02-22",15.625
"2010-02-23",15.336538
"2010-02-24",15.5
"2010-02-25",15.307692
"2010-02-26",15.442308
"2010-03-01",15.288462
"2010-03-02",15.288462
"2010-03-03",15.413462
"2010-03-04",15.490385
"2010-03-05",15.721154
"2010-03-08",15.644231
"2010-03-09",15.855769
"2010-03-10",15.875
"2010-03-11",15.846154
"2010-03-12",16.384615
"2010-03-15",16.625
"2010-03-16",17.375
"2010-03-17",17.346153
"2010-03-18",17.490385
"2010-03-19",17.375
"2010-03-22",17.375
"2010-03-23",17.625
"2010-03-24",17.740385
"2010-03-25",17.596153
"2010-03-26",17.634615
"2010-03-29",17.692308
"2010-03-30",17.596153
"2010-03-31",17.5
"2010-04-01",17.625
"2010-04-05",17.817308
"2010-04-06",17.884615
"2010-04-07",17.788462
"2010-04-08",17.846153
"2010-04-09",17.807692
"2010-04-12",17.990385
"2010-04-13",18.221153
"2010-04-14",18.605768
"2010-04-15",18.75
"2010-04-16",18.240385
"2010-04-19",18.211538
"2010-04-20",18.269232
"2010-04-21",18.298077
"2010-04-22",18.221153
"2010-04-23",18.336538
"2010-04-26",18.557692
"2010-04-27",17.980768
"2010-04-28",18.221153
"2010-04-29",18.740385
"2010-04-30",18.134615
"2010-05-03",18.519232
"2010-05-04",17.865385
"2010-05-05",17.403847
"2010-05-06",16.644232
"2010-05-07",16.230768
"2010-05-10",17.346153
"2010-05-11",17.307692
"2010-05-12",17.730768
"2010-05-13",17.355768
"2010-05-14",16.961538
"2010-05-17",16.884615
"2010-05-18",16.567308
"2010-05-19",16.596153
"2010-05-20",15.634615
"2010-05-21",15.788462
"2010-05-24",15.394231
"2010-05-25",15.336538
"2010-05-26",15.394231
"2010-05-27",16.019232
"2010-05-28",15.721154
"2010-06-01",15.365385
"2010-06-02",15.721154
"2010-06-03",15.817308
"2010-06-04",15.105769
"2010-06-07",14.817308
"2010-06-08",14.884615
"2010-06-09",14.730769
"2010-06-10",15.076923
"2010-06-11",14.961538
"2010-06-14",14.798077
