"Index","MCD.Close"
"2010-01-04",62.779999
"2010-01-05",62.299999
"2010-01-06",61.450001
"2010-01-07",61.900002
"2010-01-08",61.84
"2010-01-11",62.32
"2010-01-12",62.66
"2010-01-13",62.59
"2010-01-14",62.650002
"2010-01-15",62.279999
"2010-01-19",63.48
"2010-01-20",63.009998
"2010-01-21",63.200001
"2010-01-22",63.389999
"2010-01-25",63.09
"2010-01-26",63.810001
"2010-01-27",63.73
"2010-01-28",62.830002
"2010-01-29",62.43
"2010-02-01",63.889999
"2010-02-02",64.029999
"2010-02-03",65.209999
"2010-02-04",64.059998
"2010-02-05",63.369999
"2010-02-08",62.919998
"2010-02-09",63.57
"2010-02-10",63.25
"2010-02-11",63.790001
"2010-02-12",63.59
"2010-02-16",64.010002
"2010-02-17",64.260002
"2010-02-18",64.480003
"2010-02-19",64.739998
"2010-02-22",64.769997
"2010-02-23",64.870003
"2010-02-24",65.260002
"2010-02-25",64.379997
"2010-02-26",63.849998
"2010-03-01",63.98
"2010-03-02",64.07
"2010-03-03",63.630001
"2010-03-04",63.43
"2010-03-05",63.669998
"2010-03-08",65.120003
"2010-03-09",65.099998
"2010-03-10",64.940002
"2010-03-11",65.209999
"2010-03-12",65.529999
"2010-03-15",65.93
"2010-03-16",66.07
"2010-03-17",66.379997
"2010-03-18",66.68
"2010-03-19",66.529999
"2010-03-22",67.010002
"2010-03-23",67.349998
"2010-03-24",66.800003
"2010-03-25",66.900002
"2010-03-26",67.260002
"2010-03-29",67.07
"2010-03-30",67.239998
"2010-03-31",66.720001
"2010-04-01",67.580002
"2010-04-05",68.029999
"2010-04-06",67.809998
"2010-04-07",67.699997
"2010-04-08",68.760002
"2010-04-09",68.68
"2010-04-12",68.529999
"2010-04-13",68.919998
"2010-04-14",69.419998
"2010-04-15",69.160004
"2010-04-16",69.029999
"2010-04-19",69.919998
"2010-04-20",70.339996
"2010-04-21",70.360001
"2010-04-22",71.029999
"2010-04-23",71.150002
"2010-04-26",71.019997
"2010-04-27",70.529999
"2010-04-28",70.339996
"2010-04-29",71.519997
"2010-04-30",70.589996
"2010-05-03",71.419998
"2010-05-04",70.639999
"2010-05-05",70.660004
"2010-05-06",69.419998
"2010-05-07",68.010002
"2010-05-10",70.580002
"2010-05-11",70.480003
"2010-05-12",70.669998
"2010-05-13",70.5
"2010-05-14",69.589996
"2010-05-17",70.139999
"2010-05-18",70.019997
"2010-05-19",69.400002
"2010-05-20",67.660004
"2010-05-21",67.860001
"2010-05-24",67.660004
"2010-05-25",67.839996
"2010-05-26",66.010002
"2010-05-27",67.199997
"2010-05-28",66.870003
"2010-06-01",66.360001
"2010-06-02",67.769997
"2010-06-03",67.849998
"2010-06-04",66.699997
"2010-06-07",66.75
"2010-06-08",68.379997
"2010-06-09",68.260002
"2010-06-10",69.370003
"2010-06-11",69.540001
"2010-06-14",69.300003
"2010-06-15",70.400002
"2010-06-16",70.290001
"2010-06-17",70.050003
"2010-06-18",69.879997
"2010-06-21",69.919998
"2010-06-22",68.639999
"2010-06-23",68.629997
"2010-06-24",67.730003
"2010-06-25",67.419998
"2010-06-28",67.330002
"2010-06-29",66.459999
"2010-06-30",65.870003
"2010-07-01",66.709999
"2010-07-02",66.139999
"2010-07-06",66.110001
"2010-07-07",67.309998
"2010-07-08",69.019997
"2010-07-09",69.220001
"2010-07-12",69.940002
"2010-07-13",70.839996
"2010-07-14",70.900002
"2010-07-15",71.330002
"2010-07-16",69.940002
"2010-07-19",69.910004
"2010-07-20",70.870003
"2010-07-21",70.110001
"2010-07-22",71.400002
"2010-07-23",69.900002
"2010-07-26",70.870003
"2010-07-27",70.400002
"2010-07-28",69.769997
"2010-07-29",69.379997
"2010-07-30",69.730003
"2010-08-02",70.25
"2010-08-03",70.449997
"2010-08-04",70.690002
"2010-08-05",70.449997
"2010-08-06",71.739998
"2010-08-09",72.919998
"2010-08-10",72.839996
"2010-08-11",71.57
"2010-08-12",72.059998
"2010-08-13",71.889999
"2010-08-16",71.790001
"2010-08-17",73.220001
"2010-08-18",73.25
"2010-08-19",72.970001
"2010-08-20",73.080002
"2010-08-23",73.339996
"2010-08-24",72.720001
"2010-08-25",73.190002
"2010-08-26",73.160004
"2010-08-27",73.989998
"2010-08-30",72.739998
"2010-08-31",73.059998
"2010-09-01",74.540001
"2010-09-02",75.019997
"2010-09-03",75.089996
"2010-09-07",75.800003
"2010-09-08",76.080002
"2010-09-09",74.370003
"2010-09-10",75.010002
"2010-09-13",74.57
"2010-09-14",73.940002
"2010-09-15",74.709999
"2010-09-16",74.800003
"2010-09-17",74.32
"2010-09-20",75.110001
"2010-09-21",75.510002
"2010-09-22",75.129997
"2010-09-23",74.639999
"2010-09-24",75.099998
"2010-09-27",74.760002
"2010-09-28",74.629997
"2010-09-29",74.449997
"2010-09-30",74.510002
"2010-10-01",74.919998
"2010-10-04",74.949997
"2010-10-05",75.82
"2010-10-06",75.559998
"2010-10-07",75.860001
"2010-10-08",76.099998
"2010-10-11",75.589996
