"Index","PG.Close"
"2010-01-04",61.119999
"2010-01-05",61.139999
"2010-01-06",60.849998
"2010-01-07",60.52
"2010-01-08",60.439999
"2010-01-11",60.200001
"2010-01-12",60.889999
"2010-01-13",61.52
"2010-01-14",61.580002
"2010-01-15",60.82
"2010-01-19",61.720001
"2010-01-20",60.450001
"2010-01-21",59.84
"2010-01-22",60.310001
"2010-01-25",60.630001
"2010-01-26",60.689999
"2010-01-27",60.810001
"2010-01-28",61.68
"2010-01-29",61.549999
"2010-02-01",61.990002
"2010-02-02",62.900002
"2010-02-03",62.650002
"2010-02-04",61.400002
"2010-02-05",61.299999
"2010-02-08",61.009998
"2010-02-09",61.759998
"2010-02-10",61.669998
"2010-02-11",61.959999
"2010-02-12",61.759998
"2010-02-16",62.830002
"2010-02-17",62.849998
"2010-02-18",63.389999
"2010-02-19",63.450001
"2010-02-22",63.419998
"2010-02-23",63.209999
"2010-02-24",63.889999
"2010-02-25",63.700001
"2010-02-26",63.279999
"2010-03-01",63.509998
"2010-03-02",63.709999
"2010-03-03",63.549999
"2010-03-04",63.669998
"2010-03-05",63.689999
"2010-03-08",63.189999
"2010-03-09",63.299999
"2010-03-10",63.009998
"2010-03-11",63.169998
"2010-03-12",63.32
"2010-03-15",63.700001
"2010-03-16",63.529999
"2010-03-17",64.010002
"2010-03-18",63.73
"2010-03-19",63.84
"2010-03-22",63.880001
"2010-03-23",64.529999
"2010-03-24",63.610001
"2010-03-25",63.619999
"2010-03-26",63.689999
"2010-03-29",63.73
"2010-03-30",63.66
"2010-03-31",63.27
"2010-04-01",63.360001
"2010-04-05",63.759998
"2010-04-06",63.110001
"2010-04-07",62.5
"2010-04-08",62.560001
"2010-04-09",62.73
"2010-04-12",62.700001
"2010-04-13",63
"2010-04-14",63.189999
"2010-04-15",63
"2010-04-16",62.849998
"2010-04-19",63.220001
"2010-04-20",63.189999
"2010-04-21",63.630001
"2010-04-22",63.59
"2010-04-23",63.540001
"2010-04-26",63.939999
"2010-04-27",63.110001
"2010-04-28",63.169998
"2010-04-29",62.200001
"2010-04-30",62.16
"2010-05-03",62.68
"2010-05-04",61.709999
"2010-05-05",62.16
"2010-05-06",60.75
"2010-05-07",60.310001
"2010-05-10",62.419998
"2010-05-11",62.369999
"2010-05-12",63.02
"2010-05-13",62.75
"2010-05-14",62.540001
"2010-05-17",63.380001
"2010-05-18",63.209999
"2010-05-19",63.220001
"2010-05-20",61.610001
"2010-05-21",61.849998
"2010-05-24",61.400002
"2010-05-25",61.049999
"2010-05-26",60.439999
"2010-05-27",60.950001
"2010-05-28",61.09
"2010-06-01",61.16
"2010-06-02",61.740002
"2010-06-03",61.799999
"2010-06-04",60.799999
"2010-06-07",60.619999
"2010-06-08",62.139999
"2010-06-09",61.470001
"2010-06-10",61.91
"2010-06-11",61.009998
"2010-06-14",61.25
"2010-06-15",61.91
"2010-06-16",61.189999
"2010-06-17",61.759998
"2010-06-18",61.299999
"2010-06-21",61.099998
"2010-06-22",60.720001
"2010-06-23",61.380001
"2010-06-24",60.869999
"2010-06-25",59.790001
"2010-06-28",60.619999
"2010-06-29",60.32
"2010-06-30",59.98
"2010-07-01",59.540001
"2010-07-02",59.380001
"2010-07-06",59.34
"2010-07-07",60.82
"2010-07-08",61.950001
"2010-07-09",61.75
"2010-07-12",62.09
"2010-07-13",62.389999
"2010-07-14",62.66
"2010-07-15",62.73
"2010-07-16",61.990002
"2010-07-19",61.860001
"2010-07-20",62.07
"2010-07-21",61.110001
"2010-07-22",61.369999
"2010-07-23",61.91
"2010-07-26",62.52
"2010-07-27",63.080002
"2010-07-28",62.700001
"2010-07-29",61.669998
"2010-07-30",61.16
"2010-08-02",62.060001
"2010-08-03",59.939999
"2010-08-04",59.549999
"2010-08-05",59.860001
"2010-08-06",60.02
"2010-08-09",60.380001
"2010-08-10",60.779999
"2010-08-11",60.27
"2010-08-12",59.990002
"2010-08-13",59.82
"2010-08-16",59.77
"2010-08-17",60.290001
"2010-08-18",60.75
"2010-08-19",60.189999
"2010-08-20",59.98
"2010-08-23",60.029999
"2010-08-24",59.66
"2010-08-25",59.669998
"2010-08-26",59.540001
"2010-08-27",59.799999
"2010-08-30",59.369999
"2010-08-31",59.669998
"2010-09-01",59.799999
"2010-09-02",60.07
"2010-09-03",60.290001
"2010-09-07",60.139999
"2010-09-08",60.369999
"2010-09-09",60.290001
"2010-09-10",60.400002
"2010-09-13",60.48
"2010-09-14",60.639999
"2010-09-15",61.110001
"2010-09-16",61.110001
"2010-09-17",60.970001
"2010-09-20",61.43
"2010-09-21",61.52
"2010-09-22",61.790001
"2010-09-23",61.220001
"2010-09-24",61.639999
"2010-09-27",61.040001
"2010-09-28",60.619999
"2010-09-29",60.25
"2010-09-30",59.970001
"2010-10-01",60.16
"2010-10-04",59.959999
"2010-10-05",60.82
"2010-10-06",60.869999
"2010-10-07",60.799999
"2010-10-08",61.860001
"2010-10-11",62.139999
"2010-10-12",62.02
"2010-10-13",62.630001
"2010-10-14",62.799999
"2010-10-15",62.759998
"2010-10-18",63.349998
"2010-10-19",63.18
"2010-10-20",63.369999
"2010-10-21",63.509998
"2010-10-22",63.400002
"2010-10-25",63.540001
"2010-10-26",62.860001
"2010-10-27",63.080002
"2010-10-28",63.189999
"2010-10-29",63.57
"2010-11-01",63.619999
"2010-11-02",64.019997
"2010-11-03",64.309998
"2010-11-04",65
"2010-11-05",65
"2010-11-08",64.75
"2010-11-09",64.809998
"2010-11-10",64.57
"2010-11-11",64.360001
"2010-11-12",64.330002
"2010-11-15",64.290001
"2010-11-16",63.450001
"2010-11-17",63.27
"2010-11-18",64.019997
"2010-11-19",64.050003
"2010-11-22",63.560001
"2010-11-23",62.610001
"2010-11-24",62.599998
"2010-11-26",62.130001
"2010-11-29",62.130001
"2010-11-30",61.07
"2010-12-01",62.150002
"2010-12-02",62.360001
"2010-12-03",62.330002
"2010-12-06",62.060001
"2010-12-07",62.150002
"2010-12-08",62.630001
"2010-12-09",62.869999
"2010-12-10",63.200001
"2010-12-13",63.189999
"2010-12-14",63.549999
"2010-12-15",63.639999
"2010-12-16",64.5
"2010-12-17",64.809998
"2010-12-20",64.970001
"2010-12-21",64.870003
"2010-12-22",64.949997
"2010-12-23",65.239998
