"Index","C.Close"
"2010-01-04",34
"2010-01-05",35.299999
"2010-01-06",36.400002
"2010-01-07",36.5
"2010-01-08",35.900002
"2010-01-11",36.299999
"2010-01-12",35.200001
"2010-01-13",35
"2010-01-14",35.099998
"2010-01-15",34.200001
"2010-01-19",35.400002
"2010-01-20",34.599998
"2010-01-21",32.700001
"2010-01-22",32.5
"2010-01-25",32.299999
"2010-01-26",31.5
"2010-01-27",32
"2010-01-28",32.400002
"2010-01-29",33.200001
"2010-02-01",33.400002
"2010-02-02",34.099998
"2010-02-03",33.700001
"2010-02-04",31.799999
"2010-02-05",32.200001
"2010-02-08",31.5
"2010-02-09",31.799999
"2010-02-10",32
"2010-02-11",32.099998
"2010-02-12",31.799999
"2010-02-16",33.099998
"2010-02-17",34.099998
"2010-02-18",34.299999
"2010-02-19",34.200001
"2010-02-22",34.599998
"2010-02-23",33.5
"2010-02-24",34.5
"2010-02-25",33.900002
"2010-02-26",34
"2010-03-01",33.900002
"2010-03-02",34
"2010-03-03",34
"2010-03-04",34.299999
"2010-03-05",35
"2010-03-08",35.599998
"2010-03-09",38.200001
"2010-03-10",39.599998
"2010-03-11",41.799999
"2010-03-12",39.700001
"2010-03-15",38.900002
"2010-03-16",40.5
"2010-03-17",40.5
"2010-03-18",40.200001
"2010-03-19",39
"2010-03-22",40.400002
"2010-03-23",41.299999
"2010-03-24",41.5
"2010-03-25",42.700001
"2010-03-26",43.099998
"2010-03-29",41.799999
"2010-03-30",40.900002
"2010-03-31",40.5
"2010-04-01",41.799999
"2010-04-05",42.599998
"2010-04-06",42.900002
"2010-04-07",43.599998
"2010-04-08",44.700001
"2010-04-09",45.5
"2010-04-12",46.400002
"2010-04-13",46.200001
"2010-04-14",49.299999
"2010-04-15",48.099998
"2010-04-16",45.599998
"2010-04-19",48.799999
"2010-04-20",49.700001
"2010-04-21",49.299999
"2010-04-22",48.700001
"2010-04-23",48.599998
"2010-04-26",46.099998
"2010-04-27",43.400002
"2010-04-28",44.5
"2010-04-29",45.599998
"2010-04-30",43.700001
"2010-05-03",44.099998
"2010-05-04",42.599998
"2010-05-05",41.799999
"2010-05-06",40.400002
"2010-05-07",40
"2010-05-10",42.200001
"2010-05-11",41.700001
"2010-05-12",41.799999
"2010-05-13",40.900002
"2010-05-14",39.799999
"2010-05-17",38.599998
"2010-05-18",37.299999
"2010-05-19",38.099998
"2010-05-20",36.299999
"2010-05-21",37.5
"2010-05-24",37.799999
"2010-05-25",37.799999
"2010-05-26",38.599998
"2010-05-27",40.200001
"2010-05-28",39.599998
"2010-06-01",38.5
"2010-06-02",39.200001
"2010-06-03",39.599998
"2010-06-04",37.900002
"2010-06-07",36.400002
"2010-06-08",37.200001
"2010-06-09",38.700001
"2010-06-10",39
"2010-06-11",38.799999
"2010-06-14",38.799999
"2010-06-15",39.900002
"2010-06-16",39.900002
"2010-06-17",39.599998
"2010-06-18",40.099998
"2010-06-21",40.200001
"2010-06-22",39.400002
"2010-06-23",38.900002
"2010-06-24",37.799999
"2010-06-25",39.400002
"2010-06-28",40
"2010-06-29",37.299999
"2010-06-30",37.599998
"2010-07-01",37.799999
"2010-07-02",37.900002
"2010-07-06",37.900002
"2010-07-07",39
"2010-07-08",39.700001
"2010-07-09",40.400002
"2010-07-12",41.099998
"2010-07-13",43
"2010-07-14",42.099998
"2010-07-15",41.599998
"2010-07-16",39
"2010-07-19",39.799999
"2010-07-20",39.900002
"2010-07-21",39.400002
"2010-07-22",40.900002
"2010-07-23",40.200001
"2010-07-26",41.5
"2010-07-27",41.599998
"2010-07-28",40.900002
"2010-07-29",41.200001
"2010-07-30",41
"2010-08-02",41.900002
"2010-08-03",41.299999
"2010-08-04",41.400002
"2010-08-05",41
"2010-08-06",40.599998
"2010-08-09",40.799999
"2010-08-10",40
"2010-08-11",38.5
"2010-08-12",38.700001
"2010-08-13",38.799999
"2010-08-16",38.700001
"2010-08-17",38.5
"2010-08-18",38.599998
"2010-08-19",37.900002
"2010-08-20",37.5
"2010-08-23",37.5
"2010-08-24",37.099998
"2010-08-25",36.799999
"2010-08-26",36.599998
"2010-08-27",37.599998
"2010-08-30",36.700001
"2010-08-31",37.099998
"2010-09-01",38.5
"2010-09-02",38.799999
"2010-09-03",39.099998
"2010-09-07",38.299999
"2010-09-08",38.400002
"2010-09-09",39.099998
"2010-09-10",39.099998
"2010-09-13",39.900002
"2010-09-14",39.400002
"2010-09-15",39.200001
"2010-09-16",39.700001
"2010-09-17",39.5
"2010-09-20",39.900002
"2010-09-21",39.400002
"2010-09-22",38.799999
"2010-09-23",38
"2010-09-24",39
"2010-09-27",38.700001
"2010-09-28",38.799999
"2010-09-29",39.200001
"2010-09-30",39.099998
"2010-10-01",40.900002
"2010-10-04",40.299999
"2010-10-05",41.299999
"2010-10-06",41
"2010-10-07",41.799999
"2010-10-08",41.900002
"2010-10-11",41.799999
"2010-10-12",42.400002
"2010-10-13",42.5
"2010-10-14",40.599998
"2010-10-15",39.5
"2010-10-18",41.700001
"2010-10-19",40.599998
"2010-10-20",41.099998
"2010-10-21",40.700001
"2010-10-22",41.099998
"2010-10-25",42.099998
"2010-10-26",41.799999
"2010-10-27",41.700001
"2010-10-28",41.700001
"2010-10-29",41.700001
"2010-11-01",41.5
"2010-11-02",41.700001
"2010-11-03",41.900002
"2010-11-04",43.299999
"2010-11-05",44.900002
"2010-11-08",44.400002
"2010-11-09",43
"2010-11-10",44.200001
"2010-11-11",43.599998
"2010-11-12",42.900002
"2010-11-15",43.200001
"2010-11-16",42.200001
"2010-11-17",41.900002
"2010-11-18",43
"2010-11-19",42.700001
"2010-11-22",41.799999
"2010-11-23",41
"2010-11-24",41.700001
"2010-11-26",41.099998
"2010-11-29",41.5
"2010-11-30",42
"2010-12-01",43
"2010-12-02",44.200001
"2010-12-03",44.5
"2010-12-06",44.5
"2010-12-07",46.200001
"2010-12-08",46.400002
"2010-12-09",46.900002
"2010-12-10",47.700001
"2010-12-13",48.099998
"2010-12-14",46.900002
"2010-12-15",45.900002
"2010-12-16",45.900002
"2010-12-17",47
"2010-12-20",47.099998
"2010-12-21",47.400002
"2010-12-22",47.299999
"2010-12-23",46.799999
"2010-12-27",47.700001
"2010-12-28",47.799999
"2010-12-29",47.700001
"2010-12-30",47.599998
"2010-12-31",47.299999
"2011-01-03",49
"2011-01-04",49
"2011-01-05",49.700001
"2011-01-06",49.5
"2011-01-07",49.400002
"2011-01-10",49.099998
"2011-01-11",49.400002
"2011-01-12",50.799999
"2011-01-13",50.400002
"2011-01-14",51.299999
"2011-01-18",48
"2011-01-19",47.599998
"2011-01-20",48
"2011-01-21",48.900002
"2011-01-24",48.599998
"2011-01-25",48.200001
"2011-01-26",48.099998
"2011-01-27",48.299999
"2011-01-28",47.200001
"2011-01-31",48.200001
"2011-02-01",49
"2011-02-02",48.5
"2011-02-03",48.099998
"2011-02-04",48.200001
"2011-02-07",49
"2011-02-08",48.900002
"2011-02-09",48.400002
"2011-02-10",47.799999
"2011-02-11",48.799999
"2011-02-14",49.099998
"2011-02-15",49.099998
"2011-02-16",49
"2011-02-17",49.400002
"2011-02-18",49.099998
"2011-02-22",46.900002
"2011-02-23",47
"2011-02-24",46.900002
"2011-02-25",47
"2011-02-28",46.799999
"2011-03-01",45.700001
"2011-03-02",46
"2011-03-03",46.799999
"2011-03-04",45.400002
"2011-03-07",45.200001
"2011-03-08",46.400002
"2011-03-09",46.5
"2011-03-10",45.400002
"2011-03-11",45.700001
"2011-03-14",45.400002
"2011-03-15",44.400002
"2011-03-16",43.900002
"2011-03-17",44.5
"2011-03-18",45
"2011-03-21",44.299999
