"Index","CVX.Close"
"2010-01-04",79.059998
"2010-01-05",79.620003
"2010-01-06",79.629997
"2010-01-07",79.330002
"2010-01-08",79.470001
"2010-01-11",80.879997
"2010-01-12",80.410004
"2010-01-13",79.800003
"2010-01-14",79.550003
"2010-01-15",79.230003
"2010-01-19",79.68
"2010-01-20",78.150002
"2010-01-21",76.239998
"2010-01-22",74.589996
"2010-01-25",74.550003
"2010-01-26",74.150002
"2010-01-27",73.699997
"2010-01-28",73.239998
"2010-01-29",72.120003
"2010-02-01",73.580002
"2010-02-02",74.449997
"2010-02-03",73.209999
"2010-02-04",71.370003
"2010-02-05",71.18
"2010-02-08",70.129997
"2010-02-09",71.309998
"2010-02-10",70.75
"2010-02-11",71.730003
"2010-02-12",71.010002
"2010-02-16",72.989998
"2010-02-17",72.839996
"2010-02-18",73.620003
"2010-02-19",74.050003
"2010-02-22",72.959999
"2010-02-23",72.040001
"2010-02-24",72.339996
"2010-02-25",72.110001
"2010-02-26",72.300003
"2010-03-01",72.809998
"2010-03-02",73.32
"2010-03-03",73.129997
"2010-03-04",73.080002
"2010-03-05",74.300003
"2010-03-08",74.639999
"2010-03-09",74.300003
"2010-03-10",73.959999
"2010-03-11",73.989998
"2010-03-12",73.720001
"2010-03-15",73.57
"2010-03-16",73.980003
"2010-03-17",74.669998
"2010-03-18",74.760002
"2010-03-19",74.980003
"2010-03-22",74.459999
"2010-03-23",74.769997
"2010-03-24",73.93
"2010-03-25",73.800003
"2010-03-26",74.43
"2010-03-29",75.230003
"2010-03-30",75.300003
"2010-03-31",75.830002
"2010-04-01",76.690002
"2010-04-05",77.660004
"2010-04-06",77.879997
"2010-04-07",77.370003
"2010-04-08",77.660004
"2010-04-09",79.5
"2010-04-12",80.43
"2010-04-13",80.209999
"2010-04-14",80.580002
"2010-04-15",81.589996
"2010-04-16",80.75
"2010-04-19",81.32
"2010-04-20",82.050003
"2010-04-21",81.919998
"2010-04-22",81.199997
"2010-04-23",82.669998
"2010-04-26",82.589996
"2010-04-27",80.230003
