"Index","AXJO.Close"
"2010-01-04",4876.299805
"2010-01-05",4924.299805
"2010-01-06",4921.399902
"2010-01-07",4899.399902
"2010-01-08",4912.100098
"2010-01-11",4950.700195
"2010-01-12",4899.5
"2010-01-13",4868.100098
"2010-01-14",4898
"2010-01-15",4899.600098
"2010-01-18",4911.100098
"2010-01-19",4861.200195
"2010-01-20",4868.200195
"2010-01-21",4827.200195
"2010-01-22",4750.600098
"2010-01-25",4717.899902
"2010-01-27",4644.600098
"2010-01-28",4673.299805
"2010-01-29",4569.600098
"2010-02-01",4524.100098
"2010-02-02",4605.299805
"2010-02-03",4647.899902
"2010-02-04",4621.600098
"2010-02-05",4514.100098
"2010-02-08",4521.399902
"2010-02-09",4505.100098
"2010-02-10",4513.399902
"2010-02-11",4554.299805
"2010-02-12",4562.100098
"2010-02-15",4545.5
"2010-02-16",4567.799805
"2010-02-17",4667.899902
"2010-02-18",4654.899902
"2010-02-19",4635.100098
"2010-02-22",4717.5
"2010-02-23",4718.299805
"2010-02-24",4648.5
"2010-02-25",4594.100098
"2010-02-26",4637.700195
"2010-03-01",4686.5
"2010-03-02",4701.899902
"2010-03-03",4735.700195
"2010-03-04",4750.5
"2010-03-05",4767.200195
"2010-03-08",4807.899902
"2010-03-09",4820.100098
"2010-03-10",4820
"2010-03-11",4814.200195
"2010-03-12",4818.100098
"2010-03-15",4784.100098
"2010-03-16",4797.200195
"2010-03-17",4853.200195
"2010-03-18",4863.100098
"2010-03-19",4872.200195
"2010-03-22",4830.200195
"2010-03-23",4874.799805
"2010-03-24",4891.5
"2010-03-25",4885.399902
"2010-03-26",4896.899902
"2010-03-29",4897.299805
"2010-03-30",4916.799805
"2010-03-31",4875.5
"2010-04-01",4907.700195
"2010-04-06",4953.700195
"2010-04-07",4960.899902
"2010-04-08",4937.899902
"2010-04-09",4948.100098
"2010-04-12",4984.299805
"2010-04-13",4951.600098
"2010-04-14",4994.700195
"2010-04-15",5001.899902
"2010-04-16",4984.700195
"2010-04-19",4915.100098
"2010-04-20",4925.799805
"2010-04-21",4954.299805
"2010-04-22",4907.399902
"2010-04-23",4881.5
"2010-04-27",4880
"2010-04-28",4822.799805
"2010-04-29",4785.600098
"2010-04-30",4807.399902
"2010-05-03",4785.5
"2010-05-04",4737.100098
"2010-05-05",4674
"2010-05-06",4573.200195
"2010-05-07",4480.700195
"2010-05-10",4599.799805
"2010-05-11",4548
"2010-05-12",4573
"2010-05-13",4652.799805
"2010-05-14",4611.100098
