"Index","NDX.Close"
"2010-01-04",1886.699951
"2010-01-05",1888.430054
"2010-01-06",1878.420044
"2010-01-07",1876.719971
"2010-01-08",1892.589966
"2010-01-11",1886.23999
"2010-01-12",1861.790039
"2010-01-13",1886.130005
"2010-01-14",1886.52002
"2010-01-15",1864.52002
"2010-01-19",1895.47998
"2010-01-20",1867.949951
"2010-01-21",1850.569946
"2010-01-22",1794.819946
"2010-01-25",1802.390015
"2010-01-26",1803.859985
"2010-01-27",1818.900024
"2010-01-28",1771.099976
"2010-01-29",1741.040039
"2010-02-01",1760.719971
"2010-02-02",1776.920044
"2010-02-03",1784.699951
"2010-02-04",1732.98999
"2010-02-05",1746.119995
"2010-02-08",1734.880005
"2010-02-09",1753.839966
"2010-02-10",1749.76001
"2010-02-11",1775.73999
"2010-02-12",1779.109985
"2010-02-16",1802.060059
"2010-02-17",1810.859985
"2010-02-18",1823.390015
"2010-02-19",1823.319946
"2010-02-22",1817.630005
"2010-02-23",1793.819946
"2010-02-24",1812.51001
"2010-02-25",1812.910034
"2010-02-26",1818.680054
"2010-03-01",1846.400024
"2010-03-02",1851.209961
"2010-03-03",1851.569946
"2010-03-04",1859.719971
"2010-03-05",1888.560059
"2010-03-08",1890.890015
"2010-03-09",1901.380005
"2010-03-10",1917.349976
"2010-03-11",1923.810059
"2010-03-12",1924.430054
"2010-03-15",1920.089966
"2010-03-16",1932.23999
"2010-03-17",1936.219971
"2010-03-18",1943.939941
"2010-03-19",1932.430054
"2010-03-22",1949.589966
"2010-03-23",1963.199951
"2010-03-24",1951.839966
"2010-03-25",1949.150024
"2010-03-26",1952.630005
"2010-03-29",1961.219971
"2010-03-30",1967.959961
"2010-03-31",1958.339966
"2010-04-01",1959.560059
"2010-04-05",1977.829956
"2010-04-06",1981.949951
"2010-04-07",1977.300049
"2010-04-08",1980.72998
"2010-04-09",1994.430054
"2010-04-12",1995.650024
"2010-04-13",2003.810059
"2010-04-14",2028.819946
"2010-04-15",2038.640015
"2010-04-16",2012.839966
"2010-04-19",2013.530029
"2010-04-20",2023.599976
"2010-04-21",2034.530029
