"Index","JPM.Close"
"2010-01-04",42.849998
"2010-01-05",43.68
"2010-01-06",43.919998
"2010-01-07",44.790001
"2010-01-08",44.68
"2010-01-11",44.529999
"2010-01-12",43.490002
"2010-01-13",44.25
"2010-01-14",44.689999
"2010-01-15",43.68
"2010-01-19",43.279999
"2010-01-20",43.400002
"2010-01-21",40.540001
"2010-01-22",39.16
"2010-01-25",39.209999
"2010-01-26",38.439999
"2010-01-27",39.330002
"2010-01-28",39.48
"2010-01-29",38.939999
"2010-02-01",39.630001
"2010-02-02",40.549999
"2010-02-03",40.290001
"2010-02-04",38.349998
"2010-02-05",38.299999
"2010-02-08",37.700001
"2010-02-09",38.389999
"2010-02-10",38.869999
"2010-02-11",39.02
"2010-02-12",38.950001
"2010-02-16",40.07
"2010-02-17",40.040001
"2010-02-18",40.41
"2010-02-19",40.029999
"2010-02-22",40.849998
"2010-02-23",39.880001
"2010-02-24",40.849998
"2010-02-25",40.639999
"2010-02-26",41.970001
"2010-03-01",41.830002
"2010-03-02",41.619999
"2010-03-03",41.529999
"2010-03-04",41.919998
"2010-03-05",42.810001
"2010-03-08",42.59
"2010-03-09",42.419998
"2010-03-10",42.93
"2010-03-11",43.18
"2010-03-12",43.150002
"2010-03-15",43.07
"2010-03-16",43.240002
"2010-03-17",43.790001
"2010-03-18",43.639999
"2010-03-19",43.450001
"2010-03-22",43.740002
"2010-03-23",44.580002
"2010-03-24",44.939999
"2010-03-25",44.939999
"2010-03-26",45.02
"2010-03-29",44.860001
"2010-03-30",44.580002
"2010-03-31",44.75
"2010-04-01",45.18
"2010-04-05",45.34
"2010-04-06",45.84
"2010-04-07",45.32
"2010-04-08",45.759998
"2010-04-09",45.98
"2010-04-12",46.139999
"2010-04-13",45.869999
"2010-04-14",47.73
"2010-04-15",47.810001
"2010-04-16",45.549999
"2010-04-19",45.389999
"2010-04-20",45.880001
"2010-04-21",45.349998
"2010-04-22",44.740002
"2010-04-23",44.939999
"2010-04-26",43.889999
"2010-04-27",42.41
"2010-04-28",43.459999
"2010-04-29",44
"2010-04-30",42.580002
"2010-05-03",43.529999
"2010-05-04",42.470001
"2010-05-05",42.630001
"2010-05-06",40.810001
"2010-05-07",40.759998
"2010-05-10",41.950001
"2010-05-11",41.549999
"2010-05-12",41.689999
"2010-05-13",40.810001
"2010-05-14",39.889999
"2010-05-17",39.84
"2010-05-18",39.02
"2010-05-19",39.380001
"2010-05-20",37.830002
"2010-05-21",40.049999
"2010-05-24",38.619999
"2010-05-25",38.939999
"2010-05-26",38.779999
"2010-05-27",40.419998
"2010-05-28",39.580002
"2010-06-01",38.540001
"2010-06-02",39.549999
"2010-06-03",39.099998
"2010-06-04",37.619999
"2010-06-07",36.720001
"2010-06-08",37.779999
"2010-06-09",37.119999
"2010-06-10",38.290001
"2010-06-11",38.09
"2010-06-14",37.330002
"2010-06-15",38.25
"2010-06-16",38.52
"2010-06-17",38.439999
"2010-06-18",39.18
"2010-06-21",38.869999
"2010-06-22",38.330002
"2010-06-23",38.889999
"2010-06-24",38.029999
"2010-06-25",39.439999
"2010-06-28",38.540001
"2010-06-29",37.060001
"2010-06-30",36.610001
"2010-07-01",36.080002
"2010-07-02",35.830002
"2010-07-06",36.330002
"2010-07-07",38.150002
"2010-07-08",38.16
"2010-07-09",38.849998
"2010-07-12",39.189999
"2010-07-13",40.48
"2010-07-14",40.349998
"2010-07-15",40.459999
"2010-07-16",39
"2010-07-19",39.040001
"2010-07-20",39.630001
"2010-07-21",38.419998
"2010-07-22",39.349998
"2010-07-23",39.830002
"2010-07-26",40.330002
"2010-07-27",40.689999
"2010-07-28",40.32
"2010-07-29",40.209999
"2010-07-30",40.279999
"2010-08-02",41.639999
"2010-08-03",41.080002
"2010-08-04",41.290001
"2010-08-05",41.27
"2010-08-06",40.439999
"2010-08-09",39.82
"2010-08-10",39.169998
"2010-08-11",37.77
"2010-08-12",37.810001
"2010-08-13",37.5
"2010-08-16",37.689999
"2010-08-17",37.48
"2010-08-18",37.889999
"2010-08-19",37.07
"2010-08-20",37.139999
"2010-08-23",36.880001
"2010-08-24",36.209999
"2010-08-25",36.23
"2010-08-26",35.630001
"2010-08-27",36.599998
"2010-08-30",35.849998
"2010-08-31",36.360001
"2010-09-01",37.740002
"2010-09-02",38.16
"2010-09-03",39.169998
"2010-09-07",38.279999
"2010-09-08",39.119999
"2010-09-09",40.099998
"2010-09-10",39.759998
"2010-09-13",41.119999
"2010-09-14",40.720001
"2010-09-15",40.98
"2010-09-16",40.990002
"2010-09-17",40.060001
"2010-09-20",41.189999
"2010-09-21",40.59
"2010-09-22",39.939999
"2010-09-23",39.099998
"2010-09-24",39.75
"2010-09-27",39.080002
"2010-09-28",38.950001
"2010-09-29",38.41
"2010-09-30",38.060001
"2010-10-01",38.810001
"2010-10-04",38.950001
"2010-10-05",39.639999
"2010-10-06",39.900002
"2010-10-07",39.52
"2010-10-08",39.310001
"2010-10-11",39.73
"2010-10-12",40.400002
"2010-10-13",39.84
"2010-10-14",38.720001
"2010-10-15",37.150002
"2010-10-18",38.200001
"2010-10-19",37.689999
"2010-10-20",38.099998
"2010-10-21",37.700001
"2010-10-22",37.700001
"2010-10-25",37.07
"2010-10-26",37.200001
"2010-10-27",37.540001
"2010-10-28",37.509998
"2010-10-29",37.630001
"2010-11-01",37.419998
"2010-11-02",36.959999
"2010-11-03",37.720001
"2010-11-04",39.799999
"2010-11-05",40.939999
"2010-11-08",40.509998
"2010-11-09",39.900002
"2010-11-10",40.619999
"2010-11-11",40.02
"2010-11-12",39.610001
"2010-11-15",40.080002
"2010-11-16",39.610001
"2010-11-17",39.18
"2010-11-18",39.66
"2010-11-19",39.41
"2010-11-22",38.509998
"2010-11-23",37.630001
"2010-11-24",38.16
"2010-11-26",37.5
"2010-11-29",37.91
"2010-11-30",37.400002
"2010-12-01",38.150002
"2010-12-02",39.310001
"2010-12-03",39.610001
"2010-12-06",39.900002
"2010-12-07",39.25
"2010-12-08",40.259998
"2010-12-09",40.810001
"2010-12-10",41.43
"2010-12-13",41.509998
"2010-12-14",40.790001
"2010-12-15",40.209999
"2010-12-16",40.009998
"2010-12-17",39.669998
"2010-12-20",39.950001
"2010-12-21",41
"2010-12-22",42.16
"2010-12-23",42.080002
"2010-12-27",42.669998
"2010-12-28",42.610001
"2010-12-29",42.360001
"2010-12-30",42.23
"2010-12-31",42.419998
"2011-01-03",43.580002
"2011-01-04",44.16
"2011-01-05",44.700001
"2011-01-06",44.48
"2011-01-07",43.639999
"2011-01-10",43.400002
"2011-01-11",43.599998
"2011-01-12",44.709999
"2011-01-13",44.450001
"2011-01-14",44.91
"2011-01-18",44.75
"2011-01-19",43.709999
"2011-01-20",44.75
"2011-01-21",45.290001
"2011-01-24",45.02
"2011-01-25",44.869999
"2011-01-26",44.98
"2011-01-27",45.099998
"2011-01-28",44.540001
"2011-01-31",44.939999
"2011-02-01",45.93
"2011-02-02",45.450001
"2011-02-03",45.459999
"2011-02-04",44.59
"2011-02-07",45.5
"2011-02-08",45.740002
"2011-02-09",45.110001
"2011-02-10",45.529999
"2011-02-11",46.57
"2011-02-14",46.540001
"2011-02-15",46.82
"2011-02-16",47.939999
"2011-02-17",47.82
"2011-02-18",48
"2011-02-22",46.009998
"2011-02-23",45.959999
"2011-02-24",45.91
"2011-02-25",46.68
"2011-02-28",46.689999
"2011-03-01",45.599998
"2011-03-02",45.209999
"2011-03-03",46.080002
"2011-03-04",45.52
"2011-03-07",45.189999
"2011-03-08",46.400002
"2011-03-09",46.560001
"2011-03-10",45.529999
"2011-03-11",45.740002
"2011-03-14",45.299999
"2011-03-15",44.610001
"2011-03-16",43.810001
"2011-03-17",44.560001
"2011-03-18",45.740002
"2011-03-21",45.630001
"2011-03-22",45.470001
"2011-03-23",45.599998
"2011-03-24",45.73
"2011-03-25",45.860001
"2011-03-28",45.959999
"2011-03-29",46.02
"2011-03-30",46.450001
"2011-03-31",46.099998
"2011-04-01",46.349998
"2011-04-04",46.34
"2011-04-05",46.580002
"2011-04-06",47.639999
"2011-04-07",47.400002
"2011-04-08",46.84
"2011-04-11",46.860001
"2011-04-12",46.639999
"2011-04-13",46.25
"2011-04-14",44.970001
"2011-04-15",44.889999
"2011-04-18",43.959999
"2011-04-19",44.650002
"2011-04-20",44.560001
"2011-04-21",44.68
"2011-04-25",44.610001
"2011-04-26",45.119999
"2011-04-27",45.5
"2011-04-28",45.849998
"2011-04-29",45.630001
"2011-05-02",45.18
"2011-05-03",45.919998
"2011-05-04",45.5
"2011-05-05",45.169998
"2011-05-06",45.040001
"2011-05-09",44.959999
"2011-05-10",45.16
"2011-05-11",44.23
"2011-05-12",44.09
"2011-05-13",43.150002
"2011-05-16",42.880001
"2011-05-17",43.810001
"2011-05-18",44.080002
"2011-05-19",44
"2011-05-20",43.130001
"2011-05-23",42.549999
"2011-05-24",42.34
"2011-05-25",42.27
"2011-05-26",42.450001
"2011-05-27",42.790001
"2011-05-31",43.240002
"2011-06-01",41.759998
"2011-06-02",41.610001
"2011-06-03",41.57
