"Index","SMSI.Close","MDAXI.Close","FTMC.Close","BAC.Close","MSFT.Close","ORCL.Close","GE.Close","N100.Close","CMCSA.Close","SLB.Close","IXIC.Close","GSPC.Close","MCD.Close","IBEX.Close","CVX.Close","DJA.Close","WFC.Close","DIS.Close","MRK.Close","HD.Close","N225.Close","IBM.Close","FTSE.Close","JPM.Close","NDX.Close","BFX.Close","PEP.Close","OMXIPI.Close","GDAXI.Close","DJI.Close","VZ.Close","JNJ.Close","C.Close","FTAS.Close","PFE.Close","XOM.Close","QCOM.Close","PG.Close","AXJO.Close","ATX.Close","AEX.Close","HSI.Close","RUT.Close","AAPL.Close","KO.Close"
"2010-01-04",1262.359985,7676.649902,9510.099609,15.69,30.950001,24.85,14.855769,696.98999,8.485,67.110001,2308.419922,1132.98999,62.779999,12145.099609,79.059998,3604.73999,27.32,32.07,37.009998,28.67,10654.790039,132.449997,5500.299805,42.849998,1886.699951,2563.969971,61.240002,NA,6048.299805,10583.959961,31.212946,64.68,34,2806.949951,17.960152,69.150002,46.939999,61.119999,4876.299805,2537,343.029999,21823.279297,640.099976,7.643214,28.52
"2010-01-05",1270.380005,7745.430176,9557.099609,16.200001,30.959999,24.82,14.932692,697.570007,8.37,67.300003,2308.709961,1136.52002,62.299999,12204.400391,79.620003,3606.76001,28.07,31.99,37.16,28.879999,10681.830078,130.850006,5522.5,43.68,1888.430054,2587.77002,61.98,NA,6031.859863,10572.019531,31.269218,63.93,35.299999,2818.48999,17.703985,69.419998,48.07,61.139999,4924.299805,2593.649902,342.019989,22279.580078,638.48999,7.656429,28.174999
"2010-01-06",1272.660034,7784.410156,9589.5,16.389999,30.77,24.459999,14.855769,698.27002,8.31,68.800003,2301.090088,1137.140015,61.450001,12222.5,79.629997,3605.360107,28.110001,31.82,37.66,28.780001,10731.450195,130,5530,43.919998,1878.420044,2596.429932,61.360001,NA,6034.330078,10573.679688,29.937416,64.449997,36.400002,2823.179932,17.647058,70.019997,47.599998,60.849998,4921.399902,NA,341.480011,22416.669922,637.950012,7.534643,28.165001
"2010-01-07",1266.790039,7839.069824,9630.400391,16.93,30.450001,24.379999,15.625,697.76001,8.485,69.510002,2300.050049,1141.689941,61.900002,12166.299805,79.330002,3605.300049,29.129999,31.83,37.720001,29.120001,10681.660156,129.550003,5526.700195,44.790001,1876.719971,2590.679932,60.970001,NA,6019.359863,10606.860352,29.759218,63.990002,36.5,2823.360107,17.580645,69.800003,48.98,60.52,4899.399902,2590.620117,340.549988,22269.449219,641.969971,7.520714,28.094999
"2010-01-08",1267.170044,7903.439941,9689.099609,16.780001,30.66,24.68,15.961538,701.380005,8.46,70.650002,2317.169922,1144.97998,61.84,12163,79.470001,3629.419922,28.860001,31.879999,37.700001,28.98,10798.320313,130.850006,5534.200195,44.68,1892.589966,2591.639893,60.77,NA,6037.609863,10618.19043,29.777975,64.209999,35.900002,2829.129883,17.72296,69.519997,49.470001,60.439999,4912.100098,2588.48999,341.940002,22296.75,644.559998,7.570714,27.575001
"2010-01-11",1257.849976,7919.970215,9726.400391,16.93,30.27,24.690001,16.115385,700.719971,8.405,70.650002,2312.409912,1146.97998,62.32,12074.5,80.879997,3654.969971,28.799999,31.360001,37.849998,28.16,NA,129.479996,5538.100098,44.529999,1886.23999,2585.860107,60.700001,NA,6040.5,10663.990234,29.8999,64.220001,36.299999,2832.469971,17.865274,70.300003,49.290001,60.200001,4950.700195,2660.389893,340.519989,22411.519531,643.98999,7.503929,28.135
"2010-01-12",1247.109985,7781.52002,9603.5,16.360001,30.07,24.559999,16.125,693.5,8.255,69.589996,2282.310059,1136.219971,62.66,11966.099609,80.410004,3629.370117,28.08,30.82,37.549999,27.98,10879.139648,130.509995,5498.700195,43.490002,1861.790039,2565.050049,61.549999,NA,5943,10627.259766,29.928038,64.559998,35.200001,2810.719971,17.80835,69.949997,48.490002,60.889999,4899.5,2630.919922,336.769989,22326.640625,635.5,7.418571,28.440001
"2010-01-13",1245.640015,7856.009766,9569.5,16.620001,30.35,24.799999,16.182692,694.440002,8.385,70.849998,2307.899902,1145.680054,62.59,11958.299805,79.800003,3650.340088,28.58,31.290001,38.93,28.129999,10735.030273,130.229996,5473.5,44.25,1886.130005,2575.110107,62.049999,NA,5963.140137,10680.769531,29.890522,64.970001,35,2798.27002,18.225805,69.669998,48.700001,61.52,4868.100098,2651.840088,338.179993,21748.599609,643.559998,7.523214,28.514999
"2010-01-14",1249.48999,7945.22998,9568,16.82,30.959999,25.34,16.057692,696.320007,8.335,71.290001,2316.73999,1148.459961,62.650002,11999.799805,79.550003,3653.300049,28.99,31.02,39.990002,28.299999,10907.679688,132.309998,5498.200195,44.689999,1886.52002,2571.370117,62.799999,NA,5988.879883,10710.549805,29.280895,65.099998,35.099998,2809.209961,18.387096,69.68,48.369999,61.580002,4898,2702.48999,340.609985,21716.949219,646.429993,7.479643,28.565001
"2010-01-15",1233.890015,7846.540039,9538.200195,16.26,30.860001,25.24,15.807692,687.700012,8.315,70.830002,2287.98999,1136.030029,62.279999,11845,79.230003,3619.969971,28.08,30.6,39.470001,28.57,10982.099609,131.779999,5455.399902,43.68,1864.52002,2536.449951,62.290001,NA,5875.970215,10609.650391,28.680647,64.559998,34.200001,2789.75,18.491461,69.110001,48.529999,60.82,4899.600098,2688.459961,337.98999,21654.160156,637.960022,7.354643,28.145
"2010-01-18",NA,7899.209961,9572.099609,NA,NA,NA,NA,691.72998,NA,NA,NA,NA,NA,11870.700195,NA,NA,NA,NA,NA,NA,10855.080078,NA,5494.399902,NA,NA,2552.709961,NA,NA,5918.549805,NA,NA,NA,NA,2807.959961,NA,NA,NA,NA,4911.100098,2703.820068,339.029999,21460.009766,NA,NA,NA
"2010-01-19",1252.339966,7889.910156,9555.400391,16.32,31.1,25.33,15.903846,695.869995,8.405,70.93,2320.399902,1150.22998,63.48,12022.599609,79.68,3655.449951,28.280001,31.01,40.619999,28.879999,10764.900391,134.139999,5513.100098,43.279999,1895.47998,2547.360107,62.330002,NA,5976.47998,10725.429688,29.290274,65.349998,35.400002,2815.679932,18.975332,69.269997,49.32,61.720001,4861.200195,2699.110107,341.609985,21677.980469,649.150024,7.68,28.209999
"2010-01-20",1219.969971,7750.299805,9472.299805,16.49,30.59,25.059999,15.865385,684.820007,8.26,69.089996,2291.25,1138.040039,63.009998,11709,78.150002,3612.870117,27.82,31.190001,41.029999,28.66,10737.519531,130.25,5420.799805,43.400002,1867.949951,2516.679932,61.950001,NA,5851.529785,10603.150391,28.80257,65.150002,34.599998,2771.899902,18.918406,68.029999,48.349998,60.450001,4868.200195,2647.810059,336.299988,21286.169922,639.609985,7.561786,27.75
